CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_nicolecobler_output_03_nc,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908105,SAM JAMISON MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,2506 WOODY RD,PEARLAND,TX,77581-3707,(281) 412-1440,(281) 412-1461,bradleys@pearlandisd.org,,MRS SHARON BRADLEY   ,'05-06,814,Active, ,2015-03-14T05:35:01,1,USCGeocoder,31,1,4.01,,1d2f5ba2-d14a-4564-9c25-da41ac6c9a91,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.561307,-95.301786,Exact
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908106,CHALLENGER EL,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,9434 HUGHES RANCH RD,PEARLAND,TX,77581,(281) 485-7912,(281) 412-1105,nelsonl@pearlandisd.org,,DR LISA NELSON   ,'EE-04,660,Active,1993-09-30,2015-03-14T05:35:01,2,USCGeocoder,63,1,4.01,,307ca17d-9380-4f04-97fc-64cc0c258792,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.570116,-95.366589,Exact
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908107,RUSTIC OAK EL,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,1302 RUSTIC LN,PEARLAND,TX,77581-6512,(281) 482-5400,(281) 996-3658,westb@pearlandisd.org,,MRS BETH WEST   ,'EE-04,559,Active,1993-09-30,2015-03-14T05:35:01,3,USCGeocoder,16,1,4.01,,b2b6248b-fdba-4a8e-b0b5-cae02b7c1532,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,65293.430966,ArealInterpolationGeometricCentroid,Parcel,93.0769230769,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.5344819426,-95.2330390702,Relaxed
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908108,LEON H SABLATURA MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,2201 N GALVESTON AVE,PEARLAND,TX,77581-4243,(281) 412-1500,(281) 412-1504,tiptonv@pearlandisd.org,,MRS VERNA TIPTON   ,'05-06,805,Active,1996-03-01,2015-03-14T05:35:01,4,USCGeocoder,16,1,4.01,,6863871a-f019-4d97-85c1-86185a8af391,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4357.89760673,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.5657518319,-95.2816354487,Exact
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908109,SILVERLAKE EL,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,2550 CO RD NINETY,PEARLAND,TX,77584-4845,(713) 436-8000,(713) 436-8008,vaughnl@pearlandisd.org,,MS LAKESHA VAUGHN   ,'EE-04,718,Active, ,2015-03-14T05:35:01,5,USCGeocoder,31,1,4.01,,dc13fa0c-c8e0-48e4-9568-577d30b5295f,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,61637.0112555,ArealInterpolationGeometricCentroid,Parcel,89.0088757396,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.5517277715,-95.370907322,Relaxed;Soundex
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908110,SILVERCREST EL,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,3003 SOUTHWYCK PKWY,PEARLAND,TX,77584-4899,(713) 436-2245,(713) 436-2198,campbelll@pearlandisd.org,,MS LORI CAMPBELL   ,'EE-04,803,Active,2001-10-12,2015-03-14T05:35:01,6,USCGeocoder,31,1,4.01,,71ed805b-36b5-4777-8efe-4492a49de7be,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,26676.7375676,LinearInterpolationAddressRange,StreetSegment,99.899408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.5490132281,-95.3704711042,Relaxed
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908111,ROGERS MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,3121 MANVEL,PEARLAND,TX,77584,(832) 736-6400,(832) 736-6444,milesd@pearlandisd.org,,MRS DANA MILES   ,'05-06,889,Active,2001-10-12,2015-03-14T05:35:01,7,USCGeocoder,63,1,4.01,,37ef05b0-8529-4bea-a9de-18fd1eae787d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2694.72639603,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.5434374203,-95.330662538,Relaxed
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908112,MASSEY RANCH EL,REGULAR INSTRUCTIONAL,,3900 MANVEL RD,PEARLAND,TX,77584,3900 MANVEL RD,PEARLAND,TX,77584,(281) 727-1700,(281) 692-0300,blockh@pearlandisd.org,,HEATHER BLOCK   ,'EE-04,721,Active,2006-10-02,2015-03-14T05:35:01,8,USCGeocoder,47,1,4.01,,b324c24f-b90d-4e9b-9393-cebf1a401dbd,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2411.11776361,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.5378805344,-95.3307401007,Exact
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908113,BARBARA COCKRELL EL,REGULAR INSTRUCTIONAL,,3500 MCHARD RD,PEARLAND,TX,77581,3500 MCHARD RD,PEARLAND,TX,77581,(832) 736-6600,(281) 485-7763,robertsg@pearlandisd.org,,MS GERRI ROBERTS   ,'EE-04,846,Active,2007-08-10,2015-03-14T05:35:01,9,USCGeocoder,31,1,4.01,,b5fd9bb8-9c33-4ba0-9d33-8152bb81ab32,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.581482,-95.276145,Exact
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908114,MAGNOLIA EL,REGULAR INSTRUCTIONAL,,5350 MAGNOLIA,PEARLAND,TX,77584,5350 MAGNOLIA,PEARLAND,TX,77584,(281) 727-1750,(281) 485-1137,giffords@pearlandisd.org,,MS SHARON GIFFORD   ,'EE-04,808,Active,2007-08-10,2015-03-14T05:35:01,10,USCGeocoder,16,1,4.01,,e8b32383-6084-4ded-b504-af03511619a5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11188.0849859,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.5451336896,-95.3024533918,Relaxed
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908115,ALEXANDER MIDDLE,REGULAR INSTRUCTIONAL,,3001 OLD ALVIN RD,PEARLAND,TX,77581,3001 OLD ALVIN RD,PEARLAND,TX,77581,(832) 736-6700,(281) 485-1115,nowellj@pearlandisd.org,,MR JIMMY NOWELL   ,'05-06,691,Active,2007-08-10,2015-03-14T05:35:01,11,USCGeocoder,63,1,4.01,,8f609c2d-6fc4-46a2-a3be-26a2528ce037,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,39262.2891693,ArealInterpolationGeometricCentroid,Parcel,98.9940828402,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.551481774,-95.2749893253,Relaxed
'020,BRAZORIA COUNTY,'04,'020910,DAMON ISD,INDEPENDENT,P O BOX 429,DAMON,TX,77430-0429,1211 MULCAHY ST COUNTY RD 264,DAMON,TX,77430-0429,(979) 742-3457,(979) 742-3275,drhodes@damonisd.net,www.damonisd.net,DR DONALD RHODES   ,189,'020910002,BRAZORIA CO J J A E P,JJAEP INSTRUCTIONAL,,P O BOX 429,DAMON,TX,77430-0429,1211 MULCAHY ST,DAMON,TX,77430-0429, , ,,,MR DAVID W DEMIGLIO   ,'06-12,0,Active,1996-08-01,2015-03-14T05:35:01,12,USCGeocoder,47,1,4.01,,76480cd3-996b-4130-90e9-7fc460d92940,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.290694,-95.739854,Exact
'020,BRAZORIA COUNTY,'04,'020910,DAMON ISD,INDEPENDENT,P O BOX 429,DAMON,TX,77430-0429,1211 MULCAHY ST COUNTY RD 264,DAMON,TX,77430-0429,(979) 742-3457,(979) 742-3275,drhodes@damonisd.net,www.damonisd.net,DR DONALD RHODES   ,189,'020910101,DAMON ISD,REGULAR INSTRUCTIONAL,,P O BOX 429,DAMON,TX,77430-0429,1211 MULCAHY ST/COUNTY RD 264,DAMON,TX,77430-0429,(979) 742-3457,(979) 742-3275,drhodes@damonisd.net,www.damonisd.net,MR DAVID W DEMIGLIO   ,'EE-10,189,Active, ,2015-03-14T05:35:01,13,USCGeocoder,78,1,4.01,,4d9d6393-8326-4ba0-a197-bcd820d2a299,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.288794,-95.74169,Exact
