CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_te3556_output_04_te,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905119,ASHLEY EL,REGULAR INSTRUCTIONAL,,15601 CHRISTOPHER LN,FRISCO,TX,75035-3653,15601 CHRISTOPHER LN,FRISCO,TX,75035-3653,(469) 633-3700,(469) 633-3710,weeksla@friscoisd.org,www.friscoisd.org,LAURIE WEEKS   ,'KG-05,848,Active,38525.0,2015-03-14T05:35:03,1,USCGeocoder,16,1,4.01,,2b56309f-534a-4349-b170-c9be959df993,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4564.44719669,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.1705703931,-96.7384511356,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905120,OGLE EL,REGULAR INSTRUCTIONAL,,4200 BIG FORK TRL,MCKINNEY,TX,75070.0,4200 BIG FORK TRL,MCKINNEY,TX,75070.0,(469) 633-3525,(469) 633-3535,POPEP@friscoisd.org,www.friscoisd.org,MS PHYLLIS POPE   ,'KG-05,650,Active,38888.0,2015-03-14T05:35:03,2,USCGeocoder,78,1,4.01,,986cc4c7-610e-4f59-91ff-ddf0d1ea8999,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.158966,-96.724902,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905121,CORBELL EL,REGULAR INSTRUCTIONAL,,11095 MONARCH DR,FRISCO,TX,75034-1753,11095 MONARCH DR,FRISCO,TX,75034-1753,(469) 633-3550,(469) 633-3560,youngblB@friscoisd.org,www.friscoisd.org,MS BRENDA YOUNGBLOOD   ,'KG-05,714,Active,38888.0,2015-03-14T05:35:03,3,USCGeocoder,31,1,4.01,,7e65be54-21f3-4fd7-93eb-d7094f541b10,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3514.88024206,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.163379469,-96.8808242786,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905122,SEM EL,REGULAR INSTRUCTIONAL,,12721 HONEY GROVE DR,FRISCO,TX,75035.0,12721 HONEY GROVE DR,FRISCO,TX,75035.0,(469) 633-3575,(469) 633-3585,GonzaleM@friscoisd.org,www.friscoisd.org,MR MANUEL GONZALES   ,'KG-05,624,Active,38888.0,2015-03-14T05:35:03,4,USCGeocoder,63,1,4.01,,7c751245-5eef-4ca8-ba5f-dcbdcf7771e2,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1828.38146852,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.1884625014,-96.7766439385,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905123,TAYLOR EL,REGULAR INSTRUCTIONAL,,9865 GILLESPIE DR,PLANO,TX,75025.0,9865 GILLESPIE DR,PLANO,TX,75025.0,(469) 633-3625,(469) 633-3635,garzac@friscoisd.org,www.friscoisd.org,MS CHRISTY GARZA   ,'KG-05,666,Active,38888.0,2015-03-14T05:35:03,5,USCGeocoder,63,1,4.01,,6ba2c48f-ce5b-405a-9d01-c2c594002723,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.112375,-96.760307,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905124,MOONEYHAM EL,REGULAR INSTRUCTIONAL,,2301 EDEN DR,MCKINNEY,TX,75070.0,2301 EDEN DR,MCKINNEY,TX,75070.0,(469) 633-3650,(469) 633-3660,lottm@friscoisd.org,www.friscoisd.org,MS MICHELE LOTT   ,'KG-05,791,Active,39260.0,2015-03-14T05:35:03,6,USCGeocoder,109,1,4.01,,86a3f499-710b-43e7-932f-c9cc9a1b88f9,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.185279,-96.759535,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905125,ROBERTSON EL,REGULAR INSTRUCTIONAL,,2501 WOODLAKE PKWY,FRISCO,TX,75068.0,2501 WOODLAKE PKWY,LITTLE ELM,TX,75068.0,(469) 633-3675,(469) 633-3685,iorioj@friscoisd.org,www.friscoisd.org,MR JAMES IORIO   ,'KG-05,757,Active,39260.0,2015-03-14T05:35:03,7,USCGeocoder,47,1,4.01,,b7b880a9-5bea-4acd-9e96-426d4df25cf9,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.193,-96.893817,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905126,ELLIOTT EL,REGULAR INSTRUCTIONAL,,3721 HUDSON CROSSING,MCKINNEY,TX,75070.0,3721 HUDSON CROSSING,MCKINNEY,TX,75070.0,(469) 633-3750,(469) 633-3760,millss@friscoisd.org,www.friscoisd.org,MS STACY MILLS   ,'KG-05,536,Active,39647.0,2015-03-14T05:35:03,8,USCGeocoder,31,1,4.01,,b0a9ef8e-5231-4a74-afbb-cc716fbbd01b,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.165145,-96.703874,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905127,CARROLL EL,REGULAR INSTRUCTIONAL,,4380 THRONE HALL DR,FRISCO,TX,75034.0,4380 THRONE HALL DR,FRISCO,TX,75034.0,(469) 633-3725,(469) 633-3735,cypertl@friscoisd.org,www.friscoisd.org,MS LAUREN CYPERT   ,'KG-05,508,Active,39260.0,2015-03-14T05:35:03,9,USCGeocoder,31,1,4.01,,046f2c87-13f1-49d3-add3-f88b836fdf9f,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,42748.8026782,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.1590879848,-96.8499042353,Relaxed
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905128,TADLOCK EL,REGULAR INSTRUCTIONAL,,12515 GODFREY DR,FRISCO,TX,75035.0,12515 GODFREY DR,FRISCO,TX,75035.0,(469) 633-3775,(469) 633-3785,rappk@friscoisd.org,www.friscoisd.org,MISS KELLIE RAPP   ,'KG-05,703,Active,39647.0,2015-03-14T05:35:03,10,USCGeocoder,47,1,4.01,,ba6a15af-9b88-4510-a49d-5978371c894c,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.182028,-96.787795,Exact
