CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_laurenflorence_output_05_lf,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904007,JJAEP,JJAEP INSTRUCTIONAL,,400 E SPRING VALLEY RD,RICHARDSON,TX,75083-1300,400 E SPRING VALLEY RD,RICHARDSON,TX,75083-1300,(972) 293-4504, ,,,    ,'05-12,-1,Active,35065.0,2015-03-14T05:35:04,1,USCGeocoder,63,1,4.01,,5677a0e5-11b2-4200-83b2-26cacc3b21b1,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,32.939413,-96.729342,Exact
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904041,W S PERMENTER MIDDLE,REGULAR INSTRUCTIONAL,,431 W PARKERVILLE RD,CEDAR HILL,TX,75104.0,431 W PARKERVILLE RD,CEDAR HILL,TX,75104-6607,(972) 291-5270,(972) 291-5296,shauntee.mayfield@chisd.net,www.chisd.com/schools/pms,DR SHAUNTEE MAYFIELD   ,'07-08,632,Active, ,2015-03-14T05:35:04,2,USCGeocoder,31,1,4.01,,db8e1928-f6ed-40bc-8982-0db5bbac80f6,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,32.576364,-96.950281,Exact
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904042,BESSIE COLEMAN MIDDLE,REGULAR INSTRUCTIONAL,,1208 PLEASANT RUN RD,CEDAR HILL,TX,75104.0,1208 PLEASANT RUN RD,CEDAR HILL,TX,75104.0,(972) 293-4505,(469) 272-9445,jason.miller@chisd.net,www.chisd.com/schools/cms,MR JASON MILLER   ,'07-08,588,Active,38595.0,2015-03-14T05:35:04,3,USCGeocoder,0,1,4.01,,3aca362d-ba09-49d8-9bae-e8ed143458a1,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5651.01132886,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.604374,-96.9226287166,Relaxed
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904043,CEDAR HILL COLLEGIATE ACADEMY,REGULAR INSTRUCTIONAL,,285 UPTOWN BLVD,CEDAR HILL,TX,75104.0,1533 HIGH POINTE LN,CEDAR HILL,TX,75104.0, , ,orlando.riddick@chisd.net,,    ,'06-08,0,Under Construction,42009.0,2015-03-14T05:35:04,4,USCGeocoder,78,1,4.01,,84df7d1a-ee13-4d2e-94dc-458d1f204413,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3516.46981941,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.62041296,-96.9527178005,Exact
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904101,BRAY EL,REGULAR INSTRUCTIONAL,,218 BROAD ST,CEDAR HILL,TX,75104.0,218 N BROAD ST,CEDAR HILL,TX,75104-1990,(972) 291-4231,(972) 291-6098,melody.booher@chisd.net,www.chisd.com/schools/bray,MS MELODY BOOHER   ,'EE-05,-1,Active, ,2015-03-14T05:35:04,5,USCGeocoder,31,1,4.01,,70e0953a-871d-4d38-a428-136dcc517c72,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2652.69229359,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.592294107,-96.9569604896,Exact
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904102,PLUMMER EL,REGULAR INSTRUCTIONAL,,1203 S CLARK RD,CEDAR HILL,TX,75104.0,1203 CLARK RD,CEDAR HILL,TX,75104-3242,(972) 291-4058,(972) 291-4980,jason.miller@chisd.net,www.chisd.com/schools/plummer,MR JASON MILLER   ,'EE-04,521,Active, ,2015-03-14T05:35:04,6,USCGeocoder,16,1,4.01,,dacb6c65-ebdb-4914-8651-ce36ac9a9613,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,999.228736575,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.5658216851,-96.9424893494,Relaxed
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904103,WEST INT,REGULAR INSTRUCTIONAL,,1533 HIGH POINTE LN,CEDAR HILL,TX,75104.0,1533 HIGH POINTE LN,CEDAR HILL,TX,75104-4925,(972) 291-6060,(972) 291-0646,deborah.owens-pinckney@chisd.net,www.chisd.com/schools/west,MS DEBORAH OWENS-PINCKNEY   ,'05-06,541,Active, ,2015-03-14T05:35:04,7,USCGeocoder,0,1,4.01,,f37e50e5-3223-49f1-9f94-90b24dedc27f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3516.46981941,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.62041296,-96.9527178005,Exact
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904104,HIGH POINTE EL,REGULAR INSTRUCTIONAL,,1351 HIGH POINTE LN,CEDAR HILL,TX,75104.0,1351 HIGH POINTE LN,CEDAR HILL,TX,75104-5067,(972) 291-7874,(972) 291-5695,kimberly.sherfield@chisd.net,www.chisd.com/schools/highpointe,MS KIMBERLY SHERFIELD   ,'EE-04,565,Active, ,2015-03-14T05:35:04,8,USCGeocoder,16,1,4.01,,0e63b4fa-537f-4078-a74d-205dbb429366,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,588.844619918,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.619848981,-96.9526462966,Exact
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904105,HIGHLANDS ELEMENTARY,REGULAR INSTRUCTIONAL,,131 SIMS DR,CEDAR HILL,TX,75104.0,131 SIMS DR,CEDAR HILL,TX,75104-0248,(972) 291-0496,(972) 291-5764,sylvia.lewis@chisd.net,www.chisd.com/schools/highlands,MS SYLVIA LEWIS   ,'EE-04,599,Active,31968.0,2015-03-14T05:35:04,9,USCGeocoder,47,1,4.01,,7f15e45a-b612-417b-ae08-468aa2c910d3,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5514.97286082,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.5895580403,-96.9295889059,Exact
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904107,WATERFORD OAKS EL,REGULAR INSTRUCTIONAL,,401 N WATERFORD OAKS DR,CEDAR HILL,TX,75104.0,401 N WATERFORD OAKS DR,CEDAR HILL,TX,75104-9113,(972) 291-5290,(972) 293-2381,nichole.holland@chisd.net,www.chisd.com/schools/waterfordoaks,MS NICHOLE HOLLAND   ,'EE-04,538,Active,33420.0,2015-03-14T05:35:04,10,USCGeocoder,31,1,4.01,,6a4f6b7d-273c-498b-84eb-39b318eb0f20,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4812.12624313,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.5984852894,-96.9166785697,Exact
