CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_DannyG_output_07_dg,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902104,BEALL EL,REGULAR INSTRUCTIONAL,,320 S PIEDRAS ST,EL PASO,TX,79905-3598,320 S PIEDRAS ST,EL PASO,TX,79905-3598,(915) 496-8120,(915) 533-7044,beall@episd.org,beall.episd.org,MS MARIA E GUERRA   ,'EE-05,451,Active,27941.0,2015-03-14T05:35:08,1,USCGeocoder,16,1,4.01,,be2a751f-561a-4736-8210-e033be99b9c7,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1211.94332158,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7706083152,-106.461435427,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902105,BLISS EL,REGULAR INSTRUCTIONAL,,4401 SHERIDAN RD,EL PASO,TX,79906-3400,4401 SHERIDAN RD,EL PASO,TX,79906-3400,(915) 587-2540,(915) 566-2806,bliss@episd.org,bliss.episd.org,CAIN CASTILLO   ,'EE-05,655,Active,27941.0,2015-03-14T05:35:08,2,USCGeocoder,78,1,4.01,,4aad84f0-d5ef-4c0d-bd1d-192e016fc472,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.81685,-106.4403,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902106,BONHAM EL,REGULAR INSTRUCTIONAL,,7024 CIELO VISTA DR,EL PASO,TX,79925-2208,7024 CIELO VISTA DR,EL PASO,TX,79925-2208,(915) 881-6950,(915) 778-0525,bonham@episd.org,bonham.episd.org,MS SANDRA SPIVEY   ,'EE-05,304,Active,27941.0,2015-03-14T05:35:08,3,USCGeocoder,16,1,4.01,,7c9fbc3f-bfe0-4c0e-bc1c-942c0d7ef3e7,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4339.66512932,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7872063078,-106.392314385,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902107,BURLESON EL,REGULAR INSTRUCTIONAL,,4400 BLANCO AVE,EL PASO,TX,79905-4399,4400 BLANCO AVE,EL PASO,TX,79905-4399,(915) 351-3260,(915) 533-0967,burleson@episd.org,burleson.episd.org,MR JESUS MEDINA   ,'EE-05,499,Active,27941.0,2015-03-14T05:35:08,4,USCGeocoder,16,1,4.01,,280aad3e-cbd1-4ea2-ae0d-5aaa07c3b12c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,885.293252753,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7660220274,-106.437538691,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902108,BURNET EL,REGULAR INSTRUCTIONAL,,3700 THOMASON AVE,EL PASO,TX,79904-6199,3700 THOMASON AVE,EL PASO,TX,79904-6199,(915) 231-2580,(915) 566-3951,burnet@episd.org,burnet.epsid.org,FRANCIS EZENWA   ,'EE-05,332,Active,27941.0,2015-03-14T05:35:08,5,USCGeocoder,47,1,4.01,,d8344536-0ec0-4a51-939c-0e775b5d7672,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3162.19383166,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.8310829977,-106.449653486,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902109,CLARDY EL,REGULAR INSTRUCTIONAL,,5508 DELTA DR,EL PASO,TX,79905-5199,5508 DELTA DR,EL PASO,TX,79905-5199,(915) 887-4040,(915) 778-1580,clardy@episd.org,clardy.episd.org,LETICIA FOSTER   ,'EE-05,549,Active,27941.0,2015-03-14T05:35:08,6,USCGeocoder,78,1,4.01,,cff480d0-978f-4929-9346-035bbd2fd413,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2286.61668143,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7613977096,-106.426533409,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902110,COLDWELL EL,REGULAR INSTRUCTIONAL,,4101 ALTURA AVE,EL PASO,TX,79903-1499,4101 ALTURA AVE,EL PASO,TX,79903-1499,(915) 231-2220,(915) 566-4634,coldwell@episd.org,coldwell.episd.org,MR JOSE GIJON   ,'PK-05,526,Active,27941.0,2015-03-14T05:35:08,7,USCGeocoder,47,1,4.01,,207ba773-fc1b-4d3e-8fa0-ca113f752c60,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3176.59742541,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7949171244,-106.44340814,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902111,COOLEY EL,REGULAR INSTRUCTIONAL,,107 N COLLINGSWORTH ST,EL PASO,TX,79905-3010,107 N COLLINGSWORTH ST,EL PASO,TX,79905-3010,(915) 780-1020,(915) 775-1272,cooley@episd.org,cooley.episd.org,MS SUZANNE C HANSEN-GIBSON   ,'EE-05,561,Active,27941.0,2015-03-14T05:35:08,8,USCGeocoder,0,1,4.01,,9247592f-4791-4ae4-9878-39d0c3345632,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3238.03848367,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7671851846,-106.417032149,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902112,CROCKETT EL,REGULAR INSTRUCTIONAL,,3200 WHEELING AVE,EL PASO,TX,79930-4399,3200 WHEELING AVE,EL PASO,TX,79930-4399,(915) 587-2640,(915) 566-4950,crockett@episd.org,crockett.episd.org,MR ELCO RAMOS   ,'EE-05,584,Active,27941.0,2015-03-14T05:35:08,9,USCGeocoder,16,1,4.01,,80c7ecf7-f0df-4a23-ae64-774480d2a05c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2632.15544062,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7920778148,-106.456159818,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902113,CROSBY EL,REGULAR INSTRUCTIONAL,,5411 WREN AVE,EL PASO,TX,79924-6699,5411 WREN AVE,EL PASO,TX,79924-6699,(915) 780-1040,(915) 759-7409,crosby@episd.org,crosby.episd.org,MS YVETTE HERNANDEZ   ,'EE-05,486,Active,27941.0,2015-03-14T05:35:08,10,USCGeocoder,16,1,4.01,,aea09523-a60d-499b-b532-49bd2159f2e2,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1960.47683287,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.877457686,-106.41338795,Exact
