CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_SebasAHerrera_output_08_sh,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904001,LA MARQUE H S,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568-0007,397 DUROUX,LA MARQUE,TX,77568-3634,(409) 938-4261,(409) 908-5036,acredit@lmisd.net,,MR ANDRE CREDIT   ,'09-12,519,Active, ,2015-03-14T05:35:10,1,USCGeocoder,63,1,4.01,,c0bf3fea-fcfb-4c9c-aa85-a47bfe1f0f78,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4590.71606224,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3768610392,-94.9956152724,Relaxed
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904002,DAEP,DAEP INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,1730 SCOTT ST,LA MARQUE,TX,77568,(409) 938-4251,(409) 908-5055,mcottledge@lmisd.net,,ANDRE CREDIT   ,'01-12,-1,Active,2007-10-25,2015-03-14T05:35:10,2,USCGeocoder,31,1,4.01,,72d33cc9-414d-4e27-b45c-a7430a10f2ff,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,48578.2511011,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.3633744609,-94.968940978,Relaxed
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904005,LA MARQUE EDUCATIONAL ALTERNATIVE PREPARATORY SCH,ALTERNATIVE INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,397 DUROUX,LA MARQUE,TX,77568,(409) 938-4251,(409) 908-5037,mbrooks@lmisd.net,,ANDRE CREDIT   ,'08-12,0,Under Construction,2013-04-25,2015-03-14T05:35:10,3,USCGeocoder,16,1,4.01,,7b5095c0-804d-44be-b4e5-1957f0e836af,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4590.71606224,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3768610392,-94.9956152724,Relaxed
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904006,GALVESTON CO J J A E P,JJAEP INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568-0007,6105 ATTWATER AVE,TEXAS CITY,TX,77591,(409) 938-4251,(409) 908-5012,jahlhorn@dickinsonisd.org,,JUDITH AHLHORN   ,'06-12,-1,Active,1996-08-01,2015-03-14T05:35:10,4,USCGeocoder,47,1,4.01,,b7949c59-7bcc-43fe-8017-614a3310c763,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual ,,,0,29.4264937,-94.9818684,Exact
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904045,RENAISSANCE ACADEMY,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,1217 VAUTHIER,LA MARQUE,TX,77568,(409) 908-5056,(409) 908-5112,ooduwole@lmisd.net,,MR OLATUNJI ODUWOLE   ,'06-09,134,Active,2012-07-10,2015-03-14T05:35:10,5,USCGeocoder,16,1,4.01,,900e8c10-7599-4018-ab8f-5e7f613072a4,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,29532.2881243,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.3705239794,-94.9914801383,Relaxed
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904048,LA MARQUE J H SCHOOL,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,397 DUROUX,LA MARQUE,TX,77568,(409) 938-7250,(409) 908-5036,kharris@lmisd.net,,KRYSTAL HARRIS   ,'07-08,249,Active,2013-08-26,2015-03-14T05:35:10,6,USCGeocoder,16,1,4.01,,c8282e96-b8c5-4e8b-851e-fee140b3bfab,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4590.71606224,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3768610392,-94.9956152724,Relaxed
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904108,EARLY CHILDHOOD LEARNING CENTER,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568-0007,100 LAKE RD,LA MARQUE,TX,77568,(409) 935-3020,(409) 908-5022,vporter@lmisd.net,,MRS VANESSA PORTER   ,'EE-KG,472,Active,1993-07-01,2015-03-14T05:35:10,7,USCGeocoder,16,1,4.01,,294ae2d5-4491-4fbc-aa66-b6abe016e458,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,15988.0851355,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.3778096881,-94.9803377251,Relaxed
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904114,LA MARQUE EL,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,1431 BAYOU RD,LA MARQUE,TX,77568,(409) 938-4286,(409) 908-5071,ecole@lmisd.net,,ERIN COLE   ,'01-04,612,Active,2013-08-26,2015-03-14T05:35:10,8,USCGeocoder,63,1,4.01,,414e0e6d-5953-436e-93e4-cf1012a8cb6d,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2202.76006794,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.3679874019,-94.9698571488,Relaxed;Soundex
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904116,LA MARQUE INT,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,1431 BAYOU RD,LA MARQUE,TX,77568,(409) 938-4286,(409) 908-5071,ecole@lmisd.net,,ERIN COLE   ,'05-06,310,Active,2013-08-26,2015-03-14T05:35:10,9,USCGeocoder,16,1,4.01,,56cb79d6-572f-4a16-8e47-00d75275e01e,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2202.76006794,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.3679874019,-94.9698571488,Relaxed;Soundex
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906001,TEXAS CITY H S,REGULAR INSTRUCTIONAL,,1431 NINTH AVE N,TEXAS CITY,TX,77590-5498,1431 NINTH AVE N,TEXAS CITY,TX,77591-5498,(409) 916-0800,(409) 942-2764,HLAROE@tcisd.org,www.tcisd.org,MS HOLLY LAROE   ,'09-12,1868,Active, ,2015-03-14T05:35:10,10,USCGeocoder,47,1,4.01,,ed788aa1-aa37-47b0-88ac-5f8724043e60,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual ,,,0,29.3929004,-94.9196463,Exact
