CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_wesmartin_output_10_wm,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912338,ORTIZ MIDDLE,REGULAR INSTRUCTIONAL,,6767 TELEPHONE RD,HOUSTON,TX,77061,6767 TELEPHONE RD,HOUSTON,TX,77061,(713) 845-5650,(713) 845-5646,sdoming1@houstonisd.org,www.houstonisd.org,MR SAMUEL H DOMINGUEZ   ,'06-08,1040,Active,1999-07-22,2015-03-14T05:35:00,1,USCGeocoder,31,1,4.01,,c202d3a9-7df4-4ae6-aaa8-5100e2951a84,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,84669.6916838,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.6632258722,-95.2868749409,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912340,LAS AMERICAS,ALTERNATIVE INSTRUCTIONAL,,6501 BELLAIRE BLVD,HOUSTON,TX,77074-6428,6501 BELLAIRE BLVD,HOUSTON,TX,77074-6428,(713) 773-5300,(713) 773-1503,mmoreno@houstonisd.org,www.houstonisd.org,MARIA D MORENO   ,'04-08,320,Active,2001-01-29,2015-03-14T05:35:00,2,USCGeocoder,16,1,4.01,,92566446-e04c-405c-8d51-2148ee1e0097,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,80888.3347467,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.704178612,-95.4991767066,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912342,ENERGIZED FOR EXCELLENCE ACADEMY MIDDLE,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,6107 BISSONNET,HOUSTON,TX,77081-6807,6107 BISSONNET,HOUSTON,TX,77081-6807,(713) 773-3600,(713) 773-3630,akho@houstonisd.org,www.houstonisd.org,MS ARLENE KHO   ,'06-08,372,Active,2001-07-23,2015-03-14T05:35:00,3,USCGeocoder,16,1,4.01,,d0f6566d-7698-41d3-b27e-11a077df3733,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,19915.9533394,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.6957776185,-95.4893824253,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912344,BRIARMEADOW CHARTER,REGULAR INSTRUCTIONAL,,3601 DUNVALE,HOUSTON,TX,77063,3601 DUNVALE,HOUSTON,TX,77063,(713) 458-5500,(713) 458-5506,pheinze@houstonisd.org,www.houstonisd.org,MR PETER HEINZE   ,'EE-08,611,Active,2001-08-14,2015-03-14T05:35:00,4,USCGeocoder,31,1,4.01,,44eb5dc8-1615-4ae8-ade1-1bef33845795,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,44665.8114786,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.7261081672,-95.5123032081,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912345,EAST EARLY COLLEGE H S,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,220 N MILBY ST,HOUSTON,TX,77003-2708,220 N MILBY ST,HOUSTON,TX,77003-2708,(713) 847-4809,(713) 847-4813,tbolden@houstonisd.org,www.houstonisd.org,MS TAMERA J BOLDEN   ,'09-12,455,Active,2006-08-14,2015-03-14T05:35:00,5,USCGeocoder,0,1,4.01,,4bd0d590-a19a-4a29-b864-8e6d33a21098,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,459.906221598,ArealInterpolationGeometricCentroid,Parcel,94.2603550296,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.7483106921,-95.3372707973,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912348,HOUSTON ACADEMY FOR INTERNATIONAL STUDIES,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,1810 STUART,HOUSTON,TX,77004-3043,1810 STUART,HOUSTON,TX,77004-3043,(713) 942-1430,(713) 942-1433,mjacobs1@houstonisd.org,www.houstonisd.org,MELISSA JACOBS   ,'09-12,441,Active,2006-04-18,2015-03-14T05:35:00,6,USCGeocoder,47,1,4.01,,54052429-42f7-450a-9a17-ac7a4d3128ce,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5807.73665366,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.7368564586,-95.3700444749,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912349,REACH CHARTER,ALTERNATIVE INSTRUCTIONAL,CAMPUS CHARTER,520 MERCURY DR,HOUSTON,TX,77013-5299,520 MERCURY DR,HOUSTON,TX,77013-5299,(713) 671-4515,(713) 671-3612,bsimmon1@houstonisd.org,www.houstonisd.org,BERTIE SIMMONS   ,'11-12,274,Active,2005-10-13,2015-03-14T05:35:00,7,USCGeocoder,16,1,4.01,,a6cdd538-41ed-4e1e-ac8c-4edfba161ad3,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,82782.1280427,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.7793810621,-95.2491718891,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912350,ENERGIZED FOR EXCELLENCE ACADEMY ECC,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,7419 ASHCROFT,HOUSTON,TX,77081-6801,7419 ASHCROFT,HOUSTON,TX,77081-6801,(713) 773-3600,(713) 773-3630,ACOOPER6@houstonisd.org,www.houstonisd.org,MS ADA COOPER   ,'PK,623,Active,2004-10-28,2015-03-14T05:35:00,8,USCGeocoder,16,1,4.01,,c890cf65-f1f9-40bb-880c-eecbfcf861a3,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,8501.2671833,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.697730229,-95.4902341603,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912351,REBUILD HISD CAMPUS,REGULAR INSTRUCTIONAL,,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,    ,'PK,0,Under Construction,2005-07-20,2015-03-14T05:35:00,9,USCGeocoder,16,1,4.01,,f9a3f32a-03e5-4f2a-a815-903e3fdab897,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,160242.870561,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.8028745545,-95.4556033918,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912352,FARIAS EARLY CHILDHOOD CENTER,REGULAR INSTRUCTIONAL,,515 E RITTENHOUSE,HOUSTON,TX,77076,515 E RITTENHOUSE,HOUSTON,TX,77076,(713) 691-8730,(713) 691-8746,smenxuei@houstonisd.org,www.houstonisd.org,MS SANDRA E MENXUEIRO   ,'EE-PK,381,Active,2005-07-20,2015-03-14T05:35:00,10,USCGeocoder,31,1,4.01,,d604d704-bf15-4443-a8f3-b2f03ba41496,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,29067.47018,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.8651214697,-95.39226528,Relaxed,
