CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_etimms_output_14_et,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902111,HOUSER EL,REGULAR INSTRUCTIONAL,,27370 OAK RDG SCHOOL RD,CONROE,TX,77385-9042,27370 OAK RDG SCHOOL RD,CONROE,TX,77385-9042,(832) 663-4000,(832) 663-4076,agriffin@conroeisd.net,www.conroeisd.net,MS ANGELA GRIFFIN   ,'EE-04,848,Active,2001-06-11,2015-03-14T05:35:21,1,USCGeocoder,47,1,4.01,,2696f9b1-062c-4f55-bb2a-1af75be132b9,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.167107,-95.440073,Exact
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902112,FORD EL,REGULAR INSTRUCTIONAL,,25460 RICHARD RD,SPRING,TX,77386-1508,25460 RICHARD RD,SPRING,TX,77386-1508,(832) 592-5700,(832) 592-5709,pgorman@conroeisd.net,www.conroeisd.net,MS PAOLA GORMAN   ,'EE-04,991,Active, ,2015-03-14T05:35:21,2,USCGeocoder,31,1,4.01,,ccaa5e7f-f667-4ffc-94d4-8360f3d0fdc2,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,56984.2395748,ArealInterpolationGeometricCentroid,Parcel,94.5984784446,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.1338930259,-95.4319346075,Relaxed;Soundex
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902113,HAILEY EL,REGULAR INSTRUCTIONAL,,12051 SAWMILL RD,THE WOODLANDS,TX,77380-2199,12051 SAWMILL RD,THE WOODLANDS,TX,77380-2199,(832) 663-4100,(832) 663-4199,thorne@conroeisd.net,www.conroeisd.net,MS TRACY HORNE   ,'EE-04,720,Active, ,2015-03-14T05:35:21,3,USCGeocoder,78,1,4.01,,3762d21e-0195-49fb-a286-8b30aa2d1c59,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4262.5651541,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.1307295875,-95.4657889607,Exact
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902114,RICE EL,REGULAR INSTRUCTIONAL,,904 GLADSTELL ST,CONROE,TX,77304-2765,904 GLADSTELL ST,CONROE,TX,77304-2765,(936) 709-2700,(936) 709-2799,cfitzpatrick@conroeisd.net,www.conroeisd.net,MS MALINDA STEWART   ,'EE-04,666,Active, ,2015-03-14T05:35:21,4,USCGeocoder,63,1,4.01,,e99d8068-b930-44a2-8933-296fb89e0031,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,79784.604293,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.292823999,-95.4723626373,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902115,SAN JACINTO EL,REGULAR INSTRUCTIONAL,,17601 FM 1314,CONROE,TX,77302-9306,17601 FM 1314,CONROE,TX,77302-9306,(281) 465-7700,(281) 465-7799,roneal@conroeisd.net,www.conroeisd.net,MS RENEE O'NEAL   ,'EE-04,724,Active,1980-04-22,2015-03-14T05:35:21,5,USCGeocoder,47,1,4.01,,d4b6e991-44ab-4596-87e2-e731a983fd76,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,48793.6920831,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.1965352019,-95.3441777775,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902116,GLEN LOCH EL,REGULAR INSTRUCTIONAL,,27505 GLEN LOCH DR,THE WOODLANDS,TX,77381-2913,27505 GLEN LOCH DR,THE WOODLANDS,TX,77381-2913,(281) 298-4900,(281) 298-4903,chertzenberg@conroeisd.net,www.conroeisd.net,MS CASSIE HERTZENBERG   ,'EE-04,640,Active,1980-04-22,2015-03-14T05:35:21,6,USCGeocoder,16,1,4.01,,c3a390fc-dadb-4cf3-b77c-b05043025364,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,26905.7885175,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.1525543774,-95.4959727755,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902117,RIDE EL,REGULAR INSTRUCTIONAL,,4920 W PANTHER CREEK DR,THE WOODLANDS,TX,77381-2599,4920 W PANTHER CREEK DR,THE WOODLANDS,TX,77381-2599,(281) 465-2800,(281) 465-2803,mburnham@conroeisd.net,www.conroeisd.net,MS MEGAN BURNHAM   ,'EE-04,568,Active, ,2015-03-14T05:35:21,7,USCGeocoder,16,1,4.01,,d941ccb9-83fd-4651-8121-d496cfad8e7d,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,24223.6940617,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.1679041424,-95.4993830227,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902118,DAVID EL,REGULAR INSTRUCTIONAL,,5301 SHADOW BEND PL,THE WOODLANDS,TX,77381-4126,5301 SHADOW BEND PL,THE WOODLANDS,TX,77381-4126,(281) 298-4700,(281) 298-4703,lewallen@conroeisd.net,www.conroeisd.net,MR LEE ALLEN   ,'EE-04,626,Active,1988-12-02,2015-03-14T05:35:21,8,USCGeocoder,31,1,4.01,,06904c2e-4119-41a1-93a0-bf6bd218d1de,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,27480.0272012,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.1786366479,-95.5032003713,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902119,GIESINGER EL,REGULAR INSTRUCTIONAL,,2323 WHITE OAK BLVD,CONROE,TX,77304-3560,2323 WHITE OAK BLVD,CONROE,TX,77304-3560,(936) 709-2600,(936) 709-2699,rpage@conroeisd.net,www.conroeisd.net,MS REBECCA PAGE   ,'EE-04,509,Active,1988-12-02,2015-03-14T05:35:21,9,USCGeocoder,16,1,4.01,,c0e44fe5-dbc6-4e7b-a691-8bad4c338c81,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,48592.7702101,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.3381256502,-95.4921024179,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902120,GALATAS EL,REGULAR INSTRUCTIONAL,,9001 COCHRANS CROSSING DR,THE WOODLANDS,TX,77381-2557,9001 COCHRANS CROSSING DR,THE WOODLANDS,TX,77381-2557,(936) 709-5000,(936) 709-5003,mlindsay@conroeisd.net,www.conroeisd.net,MS DENAE WILKER   ,'EE-04,660,Active,1992-07-01,2015-03-14T05:35:21,10,USCGeocoder,16,1,4.01,,68d8506a-0fee-42fd-8cb8-576e721d847b,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,40390.8481372,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.1969842584,-95.52804815,Relaxed
