CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_Phillip_Tracy_output_15_pt,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901001,CANYON H S,REGULAR INSTRUCTIONAL,,1701 23RD ST,CANYON,TX,79015,1701 23RD ST,CANYON,TX,79015,(806) 677-2740,(806) 677-2779,tgilliland@canyonisd.net,www.canyonisd.net,MR TIM GILLILAND   ,'09-12,1118,Active, ,2015-03-14T05:35:23,1,USCGeocoder,31,1,4.01,,86f6727b-ef98-4b58-bb51-f90cd1a3dffb,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,165765.905878,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.9657940972,-101.915900744,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901002,RANDALL H S,REGULAR INSTRUCTIONAL,,5800 ATTEBURY,AMARILLO,TX,79118-5005,5800 ATTEBURY,AMARILLO,TX,79118-5005,(806) 677-2333,(806) 677-2329,swill@canyonisd.net,www.canyonisd.net,MR STEVE WILLIAMS   ,'09-12,1575,Active, ,2015-03-14T05:35:23,2,USCGeocoder,31,1,4.01,,bb8124a1-7f97-4079-a7e8-2df44341622e,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,91660.8321988,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,35.1133233271,-101.899832379,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901003,YOUTH CTR OF HIGH PLAINS,ALTERNATIVE INSTRUCTIONAL,,9300 S GEORGIA,AMARILLO,TX,79118-9475,9300 S GEORGIA,AMARILLO,TX,79118-9475,(806) 677-2450,(806) 468-5714,sneeley@canyonisd.net,www.canyonisd.net,MR SHAWN NEELEY   ,'04-12,53,Active,1992-07-01,2015-03-14T05:35:23,3,USCGeocoder,31,1,4.01,,3ba46d62-c4dc-4561-a03b-39a0bed0a44a,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,60616.4876089,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,35.117974135,-101.869590531,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901004,MIDWAY ALTERNATIVE H S,ALTERNATIVE INSTRUCTIONAL,,13501 S BELL,AMARILLO,TX,79118,13501 S BELL,AMARILLO,TX,79118,(806) 677-2455 ext:2456,(806) 677-2459,sneeley@canyonisd.net,www.canyonisd.net,SHAWN NEELEY   ,'07-12,38,Active,2009-08-20,2015-03-14T05:35:23,4,USCGeocoder,16,1,4.01,,fe5899b6-a464-45b9-abb6-68846d642080,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,40533.2932673,ArealInterpolationGeometricCentroid,Parcel,88.9349112426,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,35.0700799446,-101.899836423,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901041,CANYON J H,REGULAR INSTRUCTIONAL,,910 9TH AVE,CANYON,TX,79015-3699,910 9TH AVE,CANYON,TX,79015-3699,(806) 677-2700,(806) 677-2739,kkear@canyonisd.net,www.canyonisd.net,MR KIRK KEAR   ,'07-08,564,Active, ,2015-03-14T05:35:23,5,USCGeocoder,31,1,4.01,,91b0baa9-c627-47d2-9d4d-27498641aebb,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,41370.8277668,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.9738378825,-101.93547065,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901043,WESTOVER PARK JR HIGH,REGULAR INSTRUCTIONAL,,7200 PINNACLE,AMARILLO,TX,79109-7314,7200 PINNACLE,AMARILLO,TX,79109-7314,(806) 677-2420,(806) 677-2439,dvoran@canyonisd.net,www.canyonisd.net,MR DOUG VORAN   ,'07-08,864,Active,1995-07-01,2015-03-14T05:35:23,6,USCGeocoder,16,1,4.01,,b8833a75-8c11-4708-ad90-9f8c1c27865d,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,46396.0584997,ArealInterpolationGeometricCentroid,Parcel,92.426035503,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,35.1240975115,-101.91822291,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901101,GENE HOWE EL,REGULAR INSTRUCTIONAL,,5108 PICO,AMARILLO,TX,79110-4918,5108 PICO,AMARILLO,TX,79110-4918,(806) 677-2380,(806) 677-2399,njohnston@canyonisd.net,www.canyonisd.net,MS NICOLE JOHNSTON   ,'EE-04,366,Active, ,2015-03-14T05:35:23,7,USCGeocoder,16,1,4.01,,7d66be54-7497-48af-a72f-aeabc6a1d8aa,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,32522.9235361,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,35.120296084,-101.8942295,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901104,SUNDOWN LANE EL,REGULAR INSTRUCTIONAL,,4715 SUNDOWN LN,AMARILLO,TX,79118-9508,4715 SUNDOWN LN,AMARILLO,TX,79118-9508,(806) 677-2400,(806) 677-2419,dfaver@canyonisd.net,www.canyonisd.net,MR DAVID FAVER   ,'EE-04,330,Active, ,2015-03-14T05:35:23,8,USCGeocoder,31,1,4.01,,8cfff9cc-a33b-413b-b08f-439503ec04dc,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,46193.7949615,ArealInterpolationGeometricCentroid,Parcel,94.2603550296,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,35.1033973586,-101.887920836,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901105,LAKEVIEW EL,REGULAR INSTRUCTIONAL,,6407 LAIR RD,AMARILLO,TX,79118-3017,6407 LAIR RD,AMARILLO,TX,79118-3017,(806) 677-2830,(806) 677-2849,dcunyus@canyonisd.net,www.canyonisd.net,MRS DANA CUNYUS   ,'EE-04,463,Active,1987-07-21,2015-03-14T05:35:23,9,USCGeocoder,16,1,4.01,,e1cdcc50-7b10-4d72-8b43-6b9da6e598ea,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,49577.295675,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,35.0567459036,-101.90856613,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901106,ARDEN ROAD EL,REGULAR INSTRUCTIONAL,,6801 LEARNING TREE AVE,AMARILLO,TX,79109-7301,6801 LEARNING TREE AVE,AMARILLO,TX,79109-7301,(806) 677-2360,(806) 677-2379,cnorton@canyonisd.net,www.canyonisd.net,MR CHRIS NORTON   ,'EE-04,430,Active,1987-07-21,2015-03-14T05:35:23,10,USCGeocoder,16,1,4.01,,ff67b602-2d10-4dad-a072-3805c493dbd5,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,40438.6699203,ArealInterpolationGeometricCentroid,Parcel,92.426035503,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,35.1288277392,-101.914637592,Relaxed
