CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-25_winterbryan_output_16_bw,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905052,MEADOWBROOK MIDDLE,REGULAR INSTRUCTIONAL,,2001 EDERVILLE RD,FORT WORTH,TX,76103-1599,2001 EDERVILLE RD,FORT WORTH,TX,76103-1599,(817) 815-4300,(817) 815-4350,WEB@FWISD.ORG,www.fortworthisd.org,MS KATRINA SMITH   ,'06-08,584,Active, ,2015-03-14T05:35:24,1,USCGeocoder,344,1,4.01,,c6a602dc-c937-4721-80c8-06b0c5cfb00f,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,41583.7001328,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7469457749,-97.2605419503,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905053,MONNIG MIDDLE,REGULAR INSTRUCTIONAL,,3136 BIGHAM BLVD,FORT WORTH,TX,76116-4393,3136 BIGHAM BLVD,FORT WORTH,TX,76116-4393,(817) 815-1200,(817) 815-1200,WEB@FWISD.ORG,www.fortworthisd.org,JENNIFER ORONA   ,'06-08,490,Active, ,2015-03-14T05:35:24,2,USCGeocoder,47,1,4.01,,003a3720-c421-4df3-b1bb-04daf7885ef4,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,59874.5401251,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7295569428,-97.4281473783,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905054,MORNINGSIDE MIDDLE,REGULAR INSTRUCTIONAL,,2751 MISSISSIPPI AVE,FORT WORTH,TX,76104-6899,2751 MISSISSIPPI AVE,FORT WORTH,TX,76104-6899,(817) 815-8300,(817) 815-8350,WEB@FWISD.ORG,www.fortworthisd.org,ANGELE HODGES   ,'06-08,741,Active, ,2015-03-14T05:35:24,3,USCGeocoder,63,1,4.01,,98ef06ca-f54b-421d-8844-8e646fbf50a8,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5190.21322155,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7133383181,-97.3061517709,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905055,APPLIED LEARNING ACAD,REGULAR INSTRUCTIONAL,,7060 CAMP BOWIE,FORT WORTH,TX,76116-3010,7060 CAMP BOWIE,FORT WORTH,TX,76116-3010,(817) 815-5500,(817) 815-5550,web@FWISD.ORG,www.fortworthisd.org,MS ALICE BUCKLEY   ,'06-08,299,Active,1993-07-01,2015-03-14T05:35:24,4,USCGeocoder,141,1,4.01,,7a25c144-1560-4f90-9aaf-5c4d3d1034ac,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.720565,-97.437784,Exact
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905056,RIVERSIDE MIDDLE,REGULAR INSTRUCTIONAL,,1600 BOLTON ST,FORT WORTH,TX,76111-2601,1600 BOLTON ST,FORT WORTH,TX,76111-2601,(817) 814-9200,(817) 814-9250,WEB@FWISD.ORG,www.fortworthisd.org,JOSHUA DELICH   ,'06-08,1028,Active, ,2015-03-14T05:35:24,5,USCGeocoder,63,1,4.01,,2cff4010-9dea-4bec-ad9c-eb84c2129373,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2719.9667817,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.7857704095,-97.3001478321,Exact
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905057,ROSEMONT MIDDLE,REGULAR INSTRUCTIONAL,,1501 W SEMINARY DR,FORT WORTH,TX,76115-1199,1501 W SEMINARY DR,FORT WORTH,TX,76115-1199,(817) 814-7200,(817) 814-7250,WEB@FWISD.ORG,www.fortworthisd.org,MR BENJAMIN LEOS   ,'07-08,950,Active, ,2015-03-14T05:35:24,6,USCGeocoder,78,1,4.01,,3a7d6f87-2f4d-417c-b53c-86618dcbc073,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,83810.6426466,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.6837038828,-97.342734623,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905058,STRIPLING MIDDLE,REGULAR INSTRUCTIONAL,,2100 CLOVER LN,FORT WORTH,TX,76107-4397,2100 CLOVER LN,FORT WORTH,TX,76107-4397,(817) 815-1300,(817) 815-1350,WEB@FWISD.ORG,www.fortworthisd.org,KERI FLORES   ,'06-08,690,Active, ,2015-03-14T05:35:24,7,USCGeocoder,16,1,4.01,,dccd3064-9276-4894-bb3b-864a096bd6cf,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,31244.4868269,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7380280981,-97.3792189103,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905059,DUNBAR MIDDLE,REGULAR INSTRUCTIONAL,,2501 STALCUP RD,FORT WORTH,TX,76105-1538,2501 STALCUP RD,FORT WORTH,TX,76105-1538,(817) 815-3500,(817) 815-3550,WEB@FWISD.ORG,www.fortworthisd.org,HOWARD ROBINSON   ,'06-08,736,Active, ,2015-03-14T05:35:24,8,USCGeocoder,31,1,4.01,,d74ea15c-c809-4a74-a0e3-9776827d69ea,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,9019.03876381,LinearInterpolationAddressRange,StreetSegment,92.0118343195,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.7206699929,-97.2375104029,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905060,WEDGWOOD MIDDLE,REGULAR INSTRUCTIONAL,,3909 WILKIE WAY,FORT WORTH,TX,76133-2899,3909 WILKIE WAY,FORT WORTH,TX,76133-2899,(817) 814-8200,(817) 814-8250,WEB@FWISD.ORG,www.fortworthisd.org,MS VALENCIA RHINES   ,'06-08,931,Active, ,2015-03-14T05:35:24,9,USCGeocoder,31,1,4.01,,b2a0a891-4960-44d8-adef-876cbd0404e7,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,47948.4471814,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.6592494421,-97.3789994651,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905061,LEONARD MIDDLE,REGULAR INSTRUCTIONAL,,8900 CHAPIN,FORT WORTH,TX,76116-6699,8900 CHAPIN,FORT WORTH,TX,76116-6699,(817) 815-6200,(817) 815-6250,WEB@FWISD.ORG,www.fortworthisd.org,MS QUANDA COLLINS   ,'06-08,741,Active, ,2015-03-14T05:35:24,10,USCGeocoder,78,1,4.01,,3893b18b-7f72-4385-9ad8-5e23bb1229cc,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,76166.0142602,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7197725712,-97.4724730112,Relaxed
