CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_cmcdonald_output_18_cm,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903069,GIST STATE JAIL,REGULAR INSTRUCTIONAL,,3295 FM 3514,BEAUMONT,TX,77705-9999,3295 FM 3514,BEAUMONT,TX,77705-9999,(409) 727-8400,(409) 722-9569,charles.wood@wsdtx.org,www.wsdtx.org,LANELL HIGGINBOTHAM   ,'UG,0,Active, ,2015-03-14T05:35:28,1,USCGeocoder,47,1,4.01,,b2248bbc-f566-4f08-9869-e9354d366b55,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11780.5527943,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.99301041,-94.0476671301,Relaxed
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903070,HUTCHINS STATE JAIL,REGULAR INSTRUCTIONAL,,1500 E LANGDON RD,DALLAS,TX,75241-7136,1500 E LANGDON RD,DALLAS,TX,75241-7136,(972) 225-1304,(972) 225-8355,henry.linley@wsdtx.org,www.wsdtx.org,HENRY LINLEY   ,'UG,0,Active,1994-06-06,2015-03-14T05:35:28,2,USCGeocoder,47,1,4.01,,92b700ed-8a82-4bd5-8863-8f0b9827a86a,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2013.33480157,LinearInterpolationAddressRange,StreetSegment,99.899408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.6692749592,-96.7059563766,Relaxed
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903071,PLANE STATE JAIL,REGULAR INSTRUCTIONAL,,904 FM 686,DAYTON,TX,77535-9943,904 FM 686,DAYTON,TX,77535-9943,(936) 258-2476,(936) 257-0269,lamar.iverson@wsdtx.org,www.wsdtx.org,KAREN SWAGERTY   ,'UG,0,Active, ,2015-03-14T05:35:28,3,USCGeocoder,63,1,4.01,,b1f6139c-c662-4b41-9a70-9b593f8ac3b6,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.109197,-94.93459,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903072,MURRAY UNIT,REGULAR INSTRUCTIONAL,,1916 N HWY 36 BYPASS,GATESVILLE,TX,76596-0003,1916 N HWY 36 BYPASS,GATESVILLE,TX,76596-0003,(254) 865-2000,(254) 865-4276,linda.gise@wsdtx.org,www.wsdtx.org,SUSAN THOMAS   ,'UG,0,Active,1995-11-01,2015-03-14T05:35:28,4,USCGeocoder,63,1,4.01,,b5228888-ca92-4728-ae92-4206a7c8935e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6159.17040141,LinearInterpolationAddressRange,StreetSegment,94.9704142012,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.4791154682,-97.7267632983,Relaxed
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903073,GARZA WEST UNIT,REGULAR INSTRUCTIONAL,,4250 HWY 202,BEEVILLE,TX,78102-8982,4250 HWY 202,BEEVILLE,TX,78102-8982,(361) 358-9890,(361) 358-9338,gina.cooper@wsdtx.org,www.wsdtx.org,JOHANNA CANALES   ,'UG,0,Active,1994-07-01,2015-03-14T05:35:28,5,USCGeocoder,63,1,4.01,,11affe0c-5c4a-4233-a111-2275b85ca753,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7123.20508623,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,28.3807757912,-97.6647594772,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903074,WALKER SAYLE (SATF),REGULAR INSTRUCTIONAL,,4176 F M 1800,BRECKENRIDGE,TX,76424-9999,4176 F M 1800,BRECKENRIDGE,TX,76424-9999,(254) 559-1581,(254) 559-5738,superintendent@wsdtx.org,www.wsdtx.org,GARY MCGEE   ,'UG,0,Active,1995-08-01,2015-03-14T05:35:28,6,USCGeocoder,125,1,4.01,,a9891000-4420-4d5c-b319-5d77e3f51304,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.799468,-98.843955,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903075,HAVINS (SATF),REGULAR INSTRUCTIONAL,,500 FM 45 E,BROWNWOOD,TX,76804-0401,500 FM 45 E,BROWNWOOD,TX,76804-0401,(325) 643-5575,(325) 643-1294,superintendent@wsdtx.org,www.wsdtx.org,KEITH MORGAN   ,'UG,0,Active,1994-07-01,2015-03-14T05:35:28,7,USCGeocoder,63,1,4.01,,0e8baf4d-8258-43d8-b68b-601442ce428c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6193.3126278,LinearInterpolationAddressRange,StreetSegment,97.6331360947,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.6591371129,-98.9703972372,Relaxed
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903076,GLOSS BRENNER (SATF),REGULAR INSTRUCTIONAL,,5100 S FM 1329,SAN DIEGO,TX,78384-9999,5100 S FM 1329,SAN DIEGO,TX,78384-9999,(361) 279-2705,(361) 279-7438,superintendent@wsdtx.org,www.wsdtx.org,    ,'UG,0,Active,1994-12-01,2015-03-14T05:35:28,8,USCGeocoder,94,1,4.01,,54f84d96-a7a7-48ff-8d04-57ead5fa8072,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,16209.2640336,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,27.7128399083,-98.253053727,Relaxed
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903077,NEY STATE JAIL,REGULAR INSTRUCTIONAL,,114 PRIVATE RD 4303,HONDO,TX,78861-3812,114 PRIVATE RD 4303,HONDO,TX,78861-3812,(830) 426-8030,(830) 426-7177,gus.sanchez@wsdtx.org,www.wsdtx.org,SANDRA HENRY   ,'UG,0,Active,1995-03-01,2015-03-14T05:35:28,9,USCGeocoder,16,1,4.01,,3c8494e8-8b5e-4860-9a69-97982920b07c,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.349412,-99.198672,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903078,JOHNSTON (SATF),REGULAR INSTRUCTIONAL,,703 AIRPORT RD,WINNSBORO,TX,75494-7002,703 AIRPORT RD,WINNSBORO,TX,75494-7002,(903) 342-6166,(903) 342-1200,superintendent@wsdtx.org,www.wsdtx.org,JON LILLEY   ,'UG,0,Active,1995-06-01,2015-03-14T05:35:28,10,USCGeocoder,31,1,4.01,,d842d466-f623-49cf-85ab-320929bf8c2c,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.938314,-95.28272,Exact
