CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_decomonteiro_output_11_am,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,,,,,,,
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906110,TOBIAS EL,REGULAR INSTRUCTIONAL,,1005 E FM150,KYLE,TX,78640,1005 E FM 150,KYLE,TX,78640,(512) 268-8437,(512) 268-8447,collierp@hayscisd.net,www.hayscisd.net,MRS PAIGE COLLIER   ,'EE KG-05,715,Active,04/13/2001,3/14/2015 5:35:15 AM,1,USCGeocoder,1,125,6caeb5e0-256f-486d-b152-8b4dd919fd46,4.01,,29.975141,-97.860928,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906111,LAURA B NEGLEY EL,REGULAR INSTRUCTIONAL,,5940 MCNAUGHTON,KYLE,TX,78640,5940 MCNAUGHTON,KYLE,TX,78640,(512) 268-8501,(512) 268-8582,salmeronc@hayscisd.net,www.hayscisd.net,CHARLA SALMERON   ,'EE KG-05,751,Active,2006-07-08,3/14/2015 5:35:15 AM,2,USCGeocoder,1,78,0b2869cf-3cdd-450a-a324-b67ad4b0b207,4.01,,30.011181,-97.883697,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906112,SCIENCE HALL EL,REGULAR INSTRUCTIONAL,,1510 BEBEE RD,KYLE,TX,78640,1510 BEBEE RD,KYLE,TX,78640,(512) 268-8502,(512) 268-8784,summersc@hayscisd.net,www.hayscisd.net,SOOR-EL PUGA   ,'PK-05,752,Active,2006-07-08,3/14/2015 5:35:15 AM,3,USCGeocoder,1,31,d461b754-6949-45f0-a7d7-35ad59222d42,4.01,,30.015111,-97.838265,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906113,BLANCO VISTA EL,REGULAR INSTRUCTIONAL,,2951 BLANCO VISTA BLVD,SAN MARCOS,TX,78666,2951 BLANCO VISTA BLVD,SAN MARCOS,TX,78666,(512) 268-8506,(512) 393-2082,shear@hayscisd.net,www.hayscisd.net,REBECCA SHEA   ,'EE-05,795,Active,2008-09-07,3/14/2015 5:35:15 AM,4,USCGeocoder,1,78,fd86c654-68c7-4bb8-8ca2-76042d47ff0f,4.01,,29.946798,-97.896179,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906114,CAMINO REAL EL,REGULAR INSTRUCTIONAL,,170 LAS BRISAS BLVD,NIEDERWALD,TX,78640,170 LAS BRISAS BLVD,NIEDERWALD,TX,78640,(512) 268-8505,(512) 398-5599,sedillom@hayscisd.net,www.hayscisd.net,YVETTE SOLIZ   ,'EE-05,769,Active,2008-09-07,3/14/2015 5:35:15 AM,5,USCGeocoder,1,47,086ba9ae-ec12-4cd2-ae0e-1684617886c0,4.01,,30.005227,-97.761908,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906115,CARPENTER HILL EL,REGULAR INSTRUCTIONAL,,4410 RR 967,BUDA,TX,78610,4410 RR 967,BUDA,TX,78610,(512) 268-8509,(512) 295-4049,certainj@hayscisd.net,www.hayscisd.net,JASON CERTAIN   ,'KG-05,612,Active,2010-03-08,3/14/2015 5:35:15 AM,6,USCGeocoder,1,16,ca24ae6e-67a8-44ad-aaf9-34fdd0da2272,4.01,,30.0956355502,-97.897259041,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,99.899408284,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,4127.11300869,Meters,3,StreetSegmentInterpolation,,,,,,,
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906116,RALPH PFLUGER EL,REGULAR INSTRUCTIONAL,,4951 MARSH LN,BUDA,TX,78610,4951 MARSH LN,BUDA,TX,78610,(512) 268-8510,(512) 295-6826,kelleyr@hayscisd.net,www.hayscisd.net,ASHLEY TAYLOR   ,'EE KG-05,655,Active,2010-03-08,3/14/2015 5:35:15 AM,7,USCGeocoder,1,47,6402e161-0693-4c5e-b4ad-d31c85b33948,4.01,,30.039443,-97.823187,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'106,HEMPHILL COUNTY,'16,'106901,CANADIAN ISD,INDEPENDENT,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,(806) 323-5393,(806) 323-8143,kyle.lynch@canadianisd.net,www.canadianisd.net,MR S KYLE LYNCH   ,1050,'106901001,CANADIAN H S,REGULAR INSTRUCTIONAL,,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,621 S 5TH ST,CANADIAN,TX,79014-3233,(806) 323-5373,(806) 323-8143,rick.berry@canadianisd.net,www.canadianisd.net,MR RICK BERRY   ,'09-12,254,Active, ,3/14/2015 5:35:15 AM,8,USCGeocoder,1,47,05d820ef-df75-4b56-9638-fd3238683869,4.01,,35.9166525357,-100.377823626,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,95.8579881657,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,1809.92162117,Meters,3,StreetSegmentInterpolation,,,,,,,
'106,HEMPHILL COUNTY,'16,'106901,CANADIAN ISD,INDEPENDENT,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,(806) 323-5393,(806) 323-8143,kyle.lynch@canadianisd.net,www.canadianisd.net,MR S KYLE LYNCH   ,1050,'106901041,CANADIAN MIDDLE,REGULAR INSTRUCTIONAL,,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,404 6TH ST,CANADIAN,TX,79014-3233,(806) 323-5351,(806) 323-8143,bruce.bryant@canadianisd.net,www.canadianisd.net,BRUCE BRYANT   ,'06-08,221,Active,1983-12-05,3/14/2015 5:35:15 AM,9,USCGeocoder,1,47,bac9f528-4817-4592-a0a4-4d3a9acc2088,4.01,,35.9146034959,-100.378721199,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,97.9289940828,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,2496.32504112,Meters,3,StreetSegmentInterpolation,,,,,,,
'106,HEMPHILL COUNTY,'16,'106901,CANADIAN ISD,INDEPENDENT,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,(806) 323-5393,(806) 323-8143,kyle.lynch@canadianisd.net,www.canadianisd.net,MR S KYLE LYNCH   ,1050,'106901101,BAKER EL,REGULAR INSTRUCTIONAL,,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,723 CHEYENNE,CANADIAN,TX,79014-3233,(806) 323-5386,(806) 323-8143,jamie.copley@canadianisd.net,www.canadianisd.net,JAMIE COPLEY   ,'03-05,239,Active, ,3/14/2015 5:35:15 AM,10,USCGeocoder,1,31,7a602509-f2cb-4120-ba3c-11d21ba96883,4.01,,35.90782,-100.382355,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
