CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_rvmoreno_WORK,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,Notes
'115,HUDSPETH COUNTY,'19,'115903,DELL CITY ISD,INDEPENDENT,P O BOX 37,DELL CITY,TX,79837-0037,110 N MAIN,DELL CITY,TX,79837-0037,(915) 964-2663,(915) 964-2880,gomezf@dellcityisd.com,dellcity.schoolwires.com,MR FABIAN GOMEZ   ,73,'115903001,DELL CITY SCHOOL,REGULAR INSTRUCTIONAL,,P O BOX 37,DELL CITY,TX,79837-0037,110 N MAIN,DELL CITY,TX,79837-0037,(915) 964-2663,(915) 964-2473,gomezf@dellcityisd.com,dellcity.schoolwires.com,MRS CLAUDIA MUSTAIN   MS PATRICIA DURAN   ,'KG-12,73,Active,30316.0,2015-03-14T05:35:17,1,USCGeocoder,1,63,6a44d773-8218-44a6-9794-cdacdf7c895f,4.01,,31.942895,-105.200962,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,10,POBoxZIPCentroid,
'116,HUNT COUNTY,'10,'116801,PHOENIX CHARTER SCHOOL,CHARTER,8501 JACK FINNEY BLVD,GREENVILLE,TX,75402.0,8501 JACK FINNEY BLVD,GREENVILLE,TX,75402.0,(903) 454-7153,(903) 455-0604,lturnipseed@phoenixschool.net,,LULA TURNIPSEED-EDWARDS   ,717,'116801001,THE PHOENIX CHARTER SCHOOL,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,8501 JACK FINNEY BLVD,GREENVILLE,TX,75402.0,8501 JACK FINNEY BLVD,GREENVILLE,TX,75402.0,(903) 454-7153,(903) 454-7806,smaxwell@phoenixschool.net,phoenixschool.net,MS STACY MAXWELL   ,'PK-12,717,Active,35637.0,2015-03-14T05:35:17,2,USCGeocoder,1,78,c37c9e00-8804-44db-b82a-385c6a344694,4.01,,33.0845008,-96.0792812,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
'116,HUNT COUNTY,'10,'116901,CADDO MILLS ISD,INDEPENDENT,P O BOX 160,CADDO MILLS,TX,75135-0160,#100 PRFOX LN,CADDO MILLS,TX,75135-0160,(903) 527-6056,(903) 527-4883,vjpayne@caddomillsisd.org,,VICKI PAYNE   ,1593,'116901001,CADDO MILLS H S,REGULAR INSTRUCTIONAL,,P O BOX 160,CADDO MILLS,TX,75135-0160,2710 GILMER,CADDO MILLS,TX,75135-0160,(903) 527-3164 ext:5   ,(903) 527-4772,bkmckamy@caddomillsisd.org,,MR BRIAN MCKAMY   ,'09-12,447,Active, ,2015-03-14T05:35:17,3,USCGeocoder,1,63,30c9f1df-98cf-485d-9e0a-1557220bc35d,4.01,,33.0794033,-96.2288645,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
'116,HUNT COUNTY,'10,'116901,CADDO MILLS ISD,INDEPENDENT,P O BOX 160,CADDO MILLS,TX,75135-0160,#100 PRFOX LN,CADDO MILLS,TX,75135-0160,(903) 527-6056,(903) 527-4883,vjpayne@caddomillsisd.org,,VICKI PAYNE   ,1593,'116901041,CADDO MILLS MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 160,CADDO MILLS,TX,75135-0160,2700 GILMER,CADDO MILLS,TX,75135-0160,(903) 527-3161,(903) 527-2379,mlpowell@caddomillsisd.org,,MRS ANNE PAYNE   ,'06-08,380,Active, ,2015-03-14T05:35:17,4,USCGeocoder,1,47,53ed710f-1580-4622-8f2e-7a41c1bcce59,4.01,,33.0722069,-96.2273035,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
'116,HUNT COUNTY,'10,'116901,CADDO MILLS ISD,INDEPENDENT,P O BOX 160,CADDO MILLS,TX,75135-0160,#100 PRFOX LN,CADDO MILLS,TX,75135-0160,(903) 527-6056,(903) 527-4883,vjpayne@caddomillsisd.org,,VICKI PAYNE   ,1593,'116901101,FRANCES AND JEANNETTE LEE EL,REGULAR INSTRUCTIONAL,,P O BOX 160,CADDO MILLS,TX,75135-0160,2702 GILMER,CADDO MILLS,TX,75135-0160,(903) 527-3162,(903) 527-0166,vfarmer@caddomillsisd.org,,MRS VONDA FARMER   ,'EE-05,337,Active, ,2015-03-14T05:35:17,5,USCGeocoder,1,47,9be8e71f-95ae-459d-8d4e-6271d42ab808,4.01,,33.0770259,-96.2299062,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
'116,HUNT COUNTY,'10,'116901,CADDO MILLS ISD,INDEPENDENT,P O BOX 160,CADDO MILLS,TX,75135-0160,#100 PRFOX LN,CADDO MILLS,TX,75135-0160,(903) 527-6056,(903) 527-4883,vjpayne@caddomillsisd.org,,VICKI PAYNE   ,1593,'116901102,KATHRYN GRIFFIS EL,REGULAR INSTRUCTIONAL,,P O BOX 160,CADDO MILLS,TX,75135.0,3639 FM 1565,CADDO MILLS,TX,75135.0,(903) 527-3525,(903) 527-3597,cpainter@caddomillsisd.org,,MRS COURTNEY K PAINTER   ,'EE-05,429,Active,38213.0,2015-03-14T05:35:17,6,USCGeocoder,1,94,391d2362-8bf1-44fa-a1b1-af74eff1cdf0,4.01,,33.049681,-96.238274,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
'116,HUNT COUNTY,'10,'116902,CELESTE ISD,INDEPENDENT,P O BOX 67,CELESTE,TX,75423-0067,207 S FIFTH ST,CELESTE,TX,75423-0067,(903) 568-4825 ext:4004,(903) 568-4495,bluedevils@celesteisd.org,www.celesteisd.org,MR BRAD CONNELLY   ,453,'116902001,CELESTE H S,REGULAR INSTRUCTIONAL,,P O BOX 67,CELESTE,TX,75423-0067,609 FM 1562,CELESTE,TX,75423-0067,(903) 568-4721 ext:1000,(903) 568-4115,frielingb@celesteisd.org,www.celesteisd.org,BEN FRIELING   ,'09-12,141,Active, ,2015-03-14T05:35:17,7,USCGeocoder,1,109,2d4e16a0-7403-4acd-bae3-ad50e884032f,4.01,,33.292818,-96.201349,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
'116,HUNT COUNTY,'10,'116902,CELESTE ISD,INDEPENDENT,P O BOX 67,CELESTE,TX,75423-0067,207 S FIFTH ST,CELESTE,TX,75423-0067,(903) 568-4825 ext:4004,(903) 568-4495,bluedevils@celesteisd.org,www.celesteisd.org,MR BRAD CONNELLY   ,453,'116902041,CELESTE J H,REGULAR INSTRUCTIONAL,,P O BOX 67,CELESTE,TX,75423-0067,200 S 5TH ST,CELESTE,TX,75423-0067,(903) 568-4721 ext:2001,(903) 568-4277,beadless@celesteisd.org,www.celesteisd.org,MRS STACI BEADLES   ,'06-08,119,Active, ,2015-03-14T05:35:17,8,USCGeocoder,1,63,7a51023b-cc22-4cee-904d-8901be2ba96f,4.01,,33.292478,-96.199103,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
'116,HUNT COUNTY,'10,'116902,CELESTE ISD,INDEPENDENT,P O BOX 67,CELESTE,TX,75423-0067,207 S FIFTH ST,CELESTE,TX,75423-0067,(903) 568-4825 ext:4004,(903) 568-4495,bluedevils@celesteisd.org,www.celesteisd.org,MR BRAD CONNELLY   ,453,'116902101,CELESTE EL,REGULAR INSTRUCTIONAL,,P O BOX 67,CELESTE,TX,75423-0067,605 W COCKRELL ST,CELESTE,TX,75423-0067,(903) 568-4721 ext:3001,(903) 568-4651,martinj@celesteisd.org,www.celesteisd.org,MRS JENNY MARTIN   ,'EE-05,193,Active, ,2015-03-14T05:35:17,9,USCGeocoder,1,31,81449a7d-b66b-463a-8129-b8c8295d0656,4.01,,33.292911,-96.202369,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
'116,HUNT COUNTY,'10,'116903,COMMERCE ISD,INDEPENDENT,3315 WASHINGTON ST,COMMERCE,TX,75428.0,3315 WASHINGTON ST,COMMERCE,TX,75428.0,(903) 886-3755,(903) 886-6025,Blake.Cooper@commerceisd.org,www.commerceisd.org,MR BLAKE WESLEY COOPER   ,1554,'116903001,COMMERCE H S,REGULAR INSTRUCTIONAL,,3315 WASHINGTON ST,COMMERCE,TX,75428.0,3800 SREGIT DR,COMMERCE,TX,75428.0,(903) 886-3756,(903) 886-6209,david.welch@commerceisd.org,schools.commerceisd.org/default.aspx?name=04.homepage,MR DAVID WELCH   ,'09-12,437,Active, ,2015-03-14T05:35:17,10,USCGeocoder,1,47,15d7f3e5-8231-481d-9149-6cf7a667b428,4.01,,33.241756,-95.924948,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
