"CountyNumber","CountyName","RegionNumber","DistrictNumber","DistrictName","DistrictType","DistrictStreetAddress","DistrictCity","DistrictState","DistrictZip","DistrictSiteStreetAddress","DistrictSiteCity","DistrictSiteState","DistrictSiteZip","DistrictPhone","DistrictFax","DistrictEmailAddress","DistrictWebPageAddress","DistrictSuperintendent","DistrictEnrollmentasofOct2014","SchoolNumber","SchoolName","InstructionType","CharterType","SchoolStreetAddress","SchoolCity","SchoolState","SchoolZip","SchoolSiteStreetAddress","SchoolSiteCity","SchoolSiteState","SchoolSiteZip","SchoolPhone","SchoolFax","SchoolEmailAddress","SchoolWebPageAddress","SchoolPrincipal","GradeRange","SchoolEnrollmentasofOct2014","SchoolStatus","SchoolStatusDate","UpdateDate","AUTO_UNIQUE_ID_2015-03-23_cmcdonald_output_18_cm","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903069","GIST STATE JAIL","REGULAR INSTRUCTIONAL","","3295 FM 3514","BEAUMONT","TX","77705-9999","3295 FM 3514","BEAUMONT","TX","77705-9999","(409) 727-8400","(409) 722-9569","charles.wood@wsdtx.org","www.wsdtx.org","LANELL HIGGINBOTHAM   ","'UG","0","Active"," ","3/14/2015 5:35:28 AM",1,"USCGeocoder",47,1,"4.01","","b2248bbc-f566-4f08-9869-e9354d366b55","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","11780.5527943393","LinearInterpolationAddressRange","StreetSegment","98.9940828402367","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",29.9930104100227,-94.0476671301043,"Relaxed"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903070","HUTCHINS STATE JAIL","REGULAR INSTRUCTIONAL","","1500 E LANGDON RD","DALLAS","TX","75241-7136","1500 E LANGDON RD","DALLAS","TX","75241-7136","(972) 225-1304","(972) 225-8355","henry.linley@wsdtx.org","www.wsdtx.org","HENRY LINLEY   ","'UG","0","Active","06/06/1994","3/14/2015 5:35:28 AM",2,"USCGeocoder",47,1,"4.01","","92b700ed-8a82-4bd5-8863-8f0b9827a86a","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2013.33480157075","LinearInterpolationAddressRange","StreetSegment","99.8994082840237","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",32.6692749591589,-96.7059563766154,"Relaxed"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903071","PLANE STATE JAIL","REGULAR INSTRUCTIONAL","","904 FM 686","DAYTON","TX","77535-9943","904 FM 686","DAYTON","TX","77535-9943","(936) 258-2476","(936) 257-0269","lamar.iverson@wsdtx.org","www.wsdtx.org","KAREN SWAGERTY   ","'UG","0","Active"," ","3/14/2015 5:35:28 AM",3,"USCGeocoder",63,1,"4.01","","b1f6139c-c662-4b41-9a70-9b593f8ac3b6","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","USPSZip","100","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","0",29.99778,-94.91832,"Exact"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903072","MURRAY UNIT","REGULAR INSTRUCTIONAL","","1916 N HWY 36 BYPASS","GATESVILLE","TX","76596-0003","1916 N HWY 36 BYPASS","GATESVILLE","TX","76596-0003","(254) 865-2000","(254) 865-4276","linda.gise@wsdtx.org","www.wsdtx.org","SUSAN THOMAS   ","'UG","0","Active","11/01/1995","3/14/2015 5:35:28 AM",4,"USCGeocoder",63,1,"4.01","","b5228888-ca92-4728-ae92-4206a7c8935e","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","6159.17040140566","LinearInterpolationAddressRange","StreetSegment","94.9704142011834","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",31.4791154681653,-97.7267632982785,"Relaxed"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903073","GARZA WEST UNIT","REGULAR INSTRUCTIONAL","","4250 HWY 202","BEEVILLE","TX","78102-8982","4250 HWY 202","BEEVILLE","TX","78102-8982","(361) 358-9890","(361) 358-9338","gina.cooper@wsdtx.org","www.wsdtx.org","JOHANNA CANALES   ","'UG","0","Active","07/01/1994","3/14/2015 5:35:28 AM",5,"USCGeocoder",63,1,"4.01","","11affe0c-5c4a-4233-a111-2275b85ca753","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7123.20508622739","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",28.3807757911982,-97.6647594771941,"Exact"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903074","SAYLE (SATF)","REGULAR INSTRUCTIONAL","","4176 F M 1800","BRECKENRIDGE","TX","76424-9999","4176 F M 1800","BRECKENRIDGE","TX","76424-9999","(254) 559-1581","(254) 559-5738","superintendent@wsdtx.org","www.wsdtx.org","GARY MCGEE   ","'UG","0","Active","08/01/1995","3/14/2015 5:35:28 AM",6,"USCGeocoder",125,1,"4.01","","a9891000-4420-4d5c-b319-5d77e3f51304","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","USPSZip","100","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","0",32.752306,-98.909708,"Exact"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903075","HAVINS (SATF)","REGULAR INSTRUCTIONAL","","500 FM 45 E","BROWNWOOD","TX","76804-0401","500 FM 45 E","BROWNWOOD","TX","76804-0401","(325) 643-5575","(325) 643-1294","superintendent@wsdtx.org","www.wsdtx.org","KEITH MORGAN   ","'UG","0","Active","07/01/1994","3/14/2015 5:35:28 AM",7,"USCGeocoder",63,1,"4.01","","0e8baf4d-8258-43d8-b68b-601442ce428c","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","6193.31262779562","LinearInterpolationAddressRange","StreetSegment","97.6331360946746","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",31.6591371128851,-98.970397237199,"Relaxed"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903076","GLOSS BRENNER (SATF)","REGULAR INSTRUCTIONAL","","5100 S FM 1329","SAN DIEGO","TX","78384-9999","5100 S FM 1329","SAN DIEGO","TX","78384-9999","(361) 279-2705","(361) 279-7438","superintendent@wsdtx.org","www.wsdtx.org","    ","'UG","0","Active","12/01/1994","3/14/2015 5:35:28 AM",8,"USCGeocoder",94,1,"4.01","","54f84d96-a7a7-48ff-8d04-57ead5fa8072","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","16209.2640335868","LinearInterpolationAddressRange","StreetSegment","97.9289940828402","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",27.7128399082879,-98.253053727017,"Relaxed"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903077","NEY STATE JAIL","REGULAR INSTRUCTIONAL","","114 PRIVATE RD 4303","HONDO","TX","78861-3812","114 PRIVATE RD 4303","HONDO","TX","78861-3812","(830) 426-8030","(830) 426-7177","gus.sanchez@wsdtx.org","www.wsdtx.org","SANDRA HENRY   ","'UG","0","Active","03/01/1995","3/14/2015 5:35:28 AM",9,"USCGeocoder",16,1,"4.01","","3c8494e8-8b5e-4860-9a69-97982920b07c","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","USPSZip","100","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","0",29.35692,-99.10158,"Exact"
"'236","WALKER COUNTY","'06","'236903","WINDHAM SCHOOL DISTRICT","INDEPENDENT","P O BOX 40","HUNTSVILLE","TX","77342-0040","804 BUILDING B FM 2821 W","HUNTSVILLE","TX","77320","(936) 291-5303","(936) 436-4031","superintendent@wsdtx.org","www.wsdtx.org","DR CLINT CARPENTER   ","0","'236903078","JOHNSTON (SATF)","REGULAR INSTRUCTIONAL","","703 AIRPORT RD","WINNSBORO","TX","75494-7002","703 AIRPORT RD","WINNSBORO","TX","75494-7002","(903) 342-6166","(903) 342-1200","superintendent@wsdtx.org","www.wsdtx.org","JON LILLEY   ","'UG","0","Active","06/01/1995","3/14/2015 5:35:28 AM",10,"USCGeocoder",31,1,"4.01","","d842d466-f623-49cf-85ab-320929bf8c2c","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","USPSZip","100","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","0",32.948208,-95.293669,"Exact"
