County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907131,ROBERT B GREEN EL,REGULAR INSTRUCTIONAL,,122 W WHITTIER ST,SAN ANTONIO,TX,78210-2895,122 W WHITTIER ST,SAN ANTONIO,TX,78210-2895,(210) 534-6851,(210) 534-6865,greenel@saisd.net,,MS ELIDA NAVARRO   ,'EE-05,194,Active, ,3/14/2015 5:34:59 AM
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907132,HERFF EL,REGULAR INSTRUCTIONAL,,996 S HACKBERRY,SAN ANTONIO,TX,78210,996 S HACKBERRY,SAN ANTONIO,TX,78210,(210) 533-7500,(210) 533-9500,herffel@saisd.net,,DR TRACI SMITH   ,'EE-05,519,Active, ,3/14/2015 5:34:59 AM
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907134,HIGHLAND HILLS EL,REGULAR INSTRUCTIONAL,,734 GLAMIS AVE,SAN ANTONIO,TX,78223-1534,734 GLAMIS AVE,SAN ANTONIO,TX,78223-1534,(210) 534-6461,(210) 534-6484,highlandhillsel@saisd.net,,DR JOANELDA G DELEON   ,'EE-05,674,Active, ,3/14/2015 5:34:59 AM
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907135,HIGHLAND PARK EL,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,635 RIGSBY AVE,SAN ANTONIO,TX,78210-3099,635 RIGSBY AVE,SAN ANTONIO,TX,78210-3099,(210) 533-8051,(210) 533-8132,highlandparkel@saisd.net,,MR JOSEPH CERNA   ,'EE-05,697,Active, ,3/14/2015 5:34:59 AM
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907136,HILLCREST EL,REGULAR INSTRUCTIONAL,,211 W MALONE AVE,SAN ANTONIO,TX,78214-1024,211 W MALONE AVE,SAN ANTONIO,TX,78214-1024,(210) 534-3903,(210) 534-0691,hillcrestel@saisd.net,,MS THERESA FLORES-LOPEZ   ,'EE-05,587,Active, ,3/14/2015 5:34:59 AM
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907137,HIRSCH EL,REGULAR INSTRUCTIONAL,,4826 SEABREEZE DR,SAN ANTONIO,TX,78220-4809,4826 SEABREEZE DR,SAN ANTONIO,TX,78220-4809,(210) 648-1821,(210) 648-1925,hirschel@saisd.net,,MARY RODRIGUEZ   ,'EE-05,537,Active, ,3/14/2015 5:34:59 AM
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907139,HUPPERTZ EL,REGULAR INSTRUCTIONAL,,247 BANGOR DR,SAN ANTONIO,TX,78228-4799,247 BANGOR DR,SAN ANTONIO,TX,78228-4799,(210) 433-3141,(210) 433-4984,huppertzel@saisd.net,,LORRAINE MARTINEZ   ,'EE-05,376,Active, ,3/14/2015 5:34:59 AM
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907140,RODRIGUEZ EL,REGULAR INSTRUCTIONAL,,3626 W CESAR E CHAVEZ BLVD,SAN ANTONIO,TX,78207-7094,3626 W CESAR E CHAVEZ BLVD,SAN ANTONIO,TX,78207-7094,(210) 433-4251,(210) 433-6846,rodriguezel@saisd.net,,MS CYNTHIA ROCHA   ,'EE-05,465,Active, ,3/14/2015 5:34:59 AM
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907141,ELOISE JAPHET EL,REGULAR INSTRUCTIONAL,,314 ASTOR ST,SAN ANTONIO,TX,78210-5198,314 ASTOR ST,SAN ANTONIO,TX,78210-5198,(210) 534-5321,(210) 534-1665,japhetel@saisd.net,,NATASHA GOULD   ,'EE-05,508,Active, ,3/14/2015 5:34:59 AM
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907142,M L KING ACADEMY,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,3501 MARTIN LUTHER KING DR,SAN ANTONIO,TX,78220-2399,3501 MARTIN LUTHER KING DR,SAN ANTONIO,TX,78220-2399,(210) 978-7935,(210) 223-6907,kingel@saisd.net,,NATASHA PINNIX   ,'EE-08,474,Active,06/14/2004,3/14/2015 5:34:59 AM
