County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908105,SAM JAMISON MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,2506 WOODY RD,PEARLAND,TX,77581-3707,(281) 412-1440,(281) 412-1461,bradleys@pearlandisd.org,,MRS SHARON BRADLEY   ,'05-06,814,Active, ,3/14/2015 5:35:01 AM
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908106,CHALLENGER EL,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,9434 HUGHES RANCH RD,PEARLAND,TX,77581,(281) 485-7912,(281) 412-1105,nelsonl@pearlandisd.org,,DR LISA NELSON   ,'EE-04,660,Active,09/30/1993,3/14/2015 5:35:01 AM
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908107,RUSTIC OAK EL,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,1302 RUSTIC LN,PEARLAND,TX,77581-6512,(281) 482-5400,(281) 996-3658,westb@pearlandisd.org,,MRS BETH WEST   ,'EE-04,559,Active,09/30/1993,3/14/2015 5:35:01 AM
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908108,LEON H SABLATURA MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,2201 N GALVESTON AVE,PEARLAND,TX,77581-4243,(281) 412-1500,(281) 412-1504,tiptonv@pearlandisd.org,,MRS VERNA TIPTON   ,'05-06,805,Active,03/01/1996,3/14/2015 5:35:01 AM
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908109,SILVERLAKE EL,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,2550 CO RD NINETY,PEARLAND,TX,77584-4845,(713) 436-8000,(713) 436-8008,vaughnl@pearlandisd.org,,MS LAKESHA VAUGHN   ,'EE-04,718,Active, ,3/14/2015 5:35:01 AM
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908110,SILVERCREST EL,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,3003 SOUTHWYCK PKWY,PEARLAND,TX,77584-4899,(713) 436-2245,(713) 436-2198,campbelll@pearlandisd.org,,MS LORI CAMPBELL   ,'EE-04,803,Active,10/12/2001,3/14/2015 5:35:01 AM
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908111,ROGERS MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,3121 MANVEL,PEARLAND,TX,77584,(832) 736-6400,(832) 736-6444,milesd@pearlandisd.org,,MRS DANA MILES   ,'05-06,889,Active,10/12/2001,3/14/2015 5:35:01 AM
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908112,MASSEY RANCH EL,REGULAR INSTRUCTIONAL,,3900 MANVEL RD,PEARLAND,TX,77584,3900 MANVEL RD,PEARLAND,TX,77584,(281) 727-1700,(281) 692-0300,blockh@pearlandisd.org,,HEATHER BLOCK   ,'EE-04,721,Active,10/02/2006,3/14/2015 5:35:01 AM
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908113,BARBARA COCKRELL EL,REGULAR INSTRUCTIONAL,,3500 MCHARD RD,PEARLAND,TX,77581,3500 MCHARD RD,PEARLAND,TX,77581,(832) 736-6600,(281) 485-7763,robertsg@pearlandisd.org,,MS GERRI ROBERTS   ,'EE-04,846,Active,08/10/2007,3/14/2015 5:35:01 AM
'020,BRAZORIA COUNTY,'04,'020908,PEARLAND ISD,INDEPENDENT,P O BOX 7,PEARLAND,TX,77581-4209,1928 N MAIN,PEARLAND,TX,77581-3306,(281) 485-3203,(281) 412-1231,wellb@pearlandisd.org,www.pearlandisd.org,DR JOHN KELLY   ,20550,'020908114,MAGNOLIA EL,REGULAR INSTRUCTIONAL,,5350 MAGNOLIA,PEARLAND,TX,77584,5350 MAGNOLIA,PEARLAND,TX,77584,(281) 727-1750,(281) 485-1137,giffords@pearlandisd.org,,MS SHARON GIFFORD   ,'EE-04,808,Active,08/10/2007,3/14/2015 5:35:01 AM
