County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902104,BEALL EL,REGULAR INSTRUCTIONAL,,320 S PIEDRAS ST,EL PASO,TX,79905-3598,320 S PIEDRAS ST,EL PASO,TX,79905-3598,(915) 496-8120,(915) 533-7044,beall@episd.org,beall.episd.org,MS MARIA E GUERRA   ,'EE-05,451,Active,07/01/1980,3/14/2015 5:35:08 AM
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902105,BLISS EL,REGULAR INSTRUCTIONAL,,4401 SHERIDAN RD,EL PASO,TX,79906-3400,4401 SHERIDAN RD,EL PASO,TX,79906-3400,(915) 587-2540,(915) 566-2806,bliss@episd.org,bliss.episd.org,CAIN CASTILLO   ,'EE-05,655,Active,07/01/1980,3/14/2015 5:35:08 AM
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902106,BONHAM EL,REGULAR INSTRUCTIONAL,,7024 CIELO VISTA DR,EL PASO,TX,79925-2208,7024 CIELO VISTA DR,EL PASO,TX,79925-2208,(915) 881-6950,(915) 778-0525,bonham@episd.org,bonham.episd.org,MS SANDRA SPIVEY   ,'EE-05,304,Active,07/01/1980,3/14/2015 5:35:08 AM
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902107,BURLESON EL,REGULAR INSTRUCTIONAL,,4400 BLANCO AVE,EL PASO,TX,79905-4399,4400 BLANCO AVE,EL PASO,TX,79905-4399,(915) 351-3260,(915) 533-0967,burleson@episd.org,burleson.episd.org,MR JESUS MEDINA   ,'EE-05,499,Active,07/01/1980,3/14/2015 5:35:08 AM
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902108,BURNET EL,REGULAR INSTRUCTIONAL,,3700 THOMASON AVE,EL PASO,TX,79904-6199,3700 THOMASON AVE,EL PASO,TX,79904-6199,(915) 231-2580,(915) 566-3951,burnet@episd.org,burnet.epsid.org,FRANCIS EZENWA   ,'EE-05,332,Active,07/01/1980,3/14/2015 5:35:08 AM
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902109,CLARDY EL,REGULAR INSTRUCTIONAL,,5508 DELTA DR,EL PASO,TX,79905-5199,5508 DELTA DR,EL PASO,TX,79905-5199,(915) 887-4040,(915) 778-1580,clardy@episd.org,clardy.episd.org,LETICIA FOSTER   ,'EE-05,549,Active,07/01/1980,3/14/2015 5:35:08 AM
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902110,COLDWELL EL,REGULAR INSTRUCTIONAL,,4101 ALTURA AVE,EL PASO,TX,79903-1499,4101 ALTURA AVE,EL PASO,TX,79903-1499,(915) 231-2220,(915) 566-4634,coldwell@episd.org,coldwell.episd.org,MR JOSE GIJON   ,'PK-05,526,Active,07/01/1980,3/14/2015 5:35:08 AM
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902111,COOLEY EL,REGULAR INSTRUCTIONAL,,107 N COLLINGSWORTH ST,EL PASO,TX,79905-3010,107 N COLLINGSWORTH ST,EL PASO,TX,79905-3010,(915) 780-1020,(915) 775-1272,cooley@episd.org,cooley.episd.org,MS SUZANNE C HANSEN-GIBSON   ,'EE-05,561,Active,07/01/1980,3/14/2015 5:35:08 AM
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902112,CROCKETT EL,REGULAR INSTRUCTIONAL,,3200 WHEELING AVE,EL PASO,TX,79930-4399,3200 WHEELING AVE,EL PASO,TX,79930-4399,(915) 587-2640,(915) 566-4950,crockett@episd.org,crockett.episd.org,MR ELCO RAMOS   ,'EE-05,584,Active,07/01/1980,3/14/2015 5:35:08 AM
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902113,CROSBY EL,REGULAR INSTRUCTIONAL,,5411 WREN AVE,EL PASO,TX,79924-6699,5411 WREN AVE,EL PASO,TX,79924-6699,(915) 780-1040,(915) 759-7409,crosby@episd.org,crosby.episd.org,MS YVETTE HERNANDEZ   ,'EE-05,486,Active,07/01/1980,3/14/2015 5:35:08 AM
