County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904001,LA MARQUE H S,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568-0007,397 DUROUX,LA MARQUE,TX,77568-3634,(409) 938-4261,(409) 908-5036,acredit@lmisd.net,,MR ANDRE CREDIT   ,'09-12,519,Active, ,3/14/2015 5:35:10 AM
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904002,DAEP,DAEP INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,1730 SCOTT ST,LA MARQUE,TX,77568,(409) 938-4251,(409) 908-5055,mcottledge@lmisd.net,,ANDRE CREDIT   ,'01-12,-1,Active,10/25/2007,3/14/2015 5:35:10 AM
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904005,LA MARQUE EDUCATIONAL ALTERNATIVE PREPARATORY SCH,ALTERNATIVE INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,397 DUROUX,LA MARQUE,TX,77568,(409) 938-4251,(409) 908-5037,mbrooks@lmisd.net,,ANDRE CREDIT   ,'08-12,0,Under Construction,04/25/2013,3/14/2015 5:35:10 AM
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904006,GALVESTON CO J J A E P,JJAEP INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568-0007,6105 ATTWATER AVE,TEXAS CITY,TX,77591,(409) 938-4251,(409) 908-5012,jahlhorn@dickinsonisd.org,,JUDITH AHLHORN   ,'06-12,-1,Active,08/01/1996,3/14/2015 5:35:10 AM
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904045,RENAISSANCE ACADEMY,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,1217 VAUTHIER,LA MARQUE,TX,77568,(409) 908-5056,(409) 908-5112,ooduwole@lmisd.net,,MR OLATUNJI ODUWOLE   ,'06-09,134,Active,07/10/2012,3/14/2015 5:35:10 AM
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904048,LA MARQUE J H SCHOOL,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,397 DUROUX,LA MARQUE,TX,77568,(409) 938-7250,(409) 908-5036,kharris@lmisd.net,,KRYSTAL HARRIS   ,'07-08,249,Active,08/26/2013,3/14/2015 5:35:10 AM
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904108,EARLY CHILDHOOD LEARNING CENTER,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568-0007,100 LAKE RD,LA MARQUE,TX,77568,(409) 935-3020,(409) 908-5022,vporter@lmisd.net,,MRS VANESSA PORTER   ,'EE-KG,472,Active,07/01/1993,3/14/2015 5:35:10 AM
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904114,LA MARQUE EL,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,1431 BAYOU RD,LA MARQUE,TX,77568,(409) 938-4286,(409) 908-5071,ecole@lmisd.net,,ERIN COLE   ,'01-04,612,Active,08/26/2013,3/14/2015 5:35:10 AM
'084,GALVESTON COUNTY,'04,'084904,LA MARQUE ISD,INDEPENDENT,P O BOX 7,LA MARQUE,TX,77568-0007,1727 BAYOU RD,LA MARQUE,TX,77568-0007,(409) 938-4251 ext:237 ,(409) 908-5012,twatkins@lmisd.net,www.lmisd.net,TERRI L WATKINS   ,2306,'084904116,LA MARQUE INT,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,1431 BAYOU RD,LA MARQUE,TX,77568,(409) 938-4286,(409) 908-5071,ecole@lmisd.net,,ERIN COLE   ,'05-06,310,Active,08/26/2013,3/14/2015 5:35:10 AM
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906001,TEXAS CITY H S,REGULAR INSTRUCTIONAL,,1431 NINTH AVE N,TEXAS CITY,TX,77590-5498,1431 NINTH AVE N,TEXAS CITY,TX,77591-5498,(409) 916-0800,(409) 942-2764,HLAROE@tcisd.org,www.tcisd.org,MS HOLLY LAROE   ,'09-12,1868,Active, ,3/14/2015 5:35:10 AM
