County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906110,TOBIAS EL,REGULAR INSTRUCTIONAL,,1005 E FM150,KYLE,TX,78640,1005 E FM 150,KYLE,TX,78640,(512) 268-8437,(512) 268-8447,collierp@hayscisd.net,www.hayscisd.net,MRS PAIGE COLLIER   ,'EE KG-05,715,Active,04/13/2001,3/14/2015 5:35:15 AM
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906111,LAURA B NEGLEY EL,REGULAR INSTRUCTIONAL,,5940 MCNAUGHTON,KYLE,TX,78640,5940 MCNAUGHTON,KYLE,TX,78640,(512) 268-8501,(512) 268-8582,salmeronc@hayscisd.net,www.hayscisd.net,CHARLA SALMERON   ,'EE KG-05,751,Active,08/07/2006,3/14/2015 5:35:15 AM
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906112,SCIENCE HALL EL,REGULAR INSTRUCTIONAL,,1510 BEBEE RD,KYLE,TX,78640,1510 BEBEE RD,KYLE,TX,78640,(512) 268-8502,(512) 268-8784,summersc@hayscisd.net,www.hayscisd.net,SOOR-EL PUGA   ,'PK-05,752,Active,08/07/2006,3/14/2015 5:35:15 AM
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906113,BLANCO VISTA EL,REGULAR INSTRUCTIONAL,,2951 BLANCO VISTA BLVD,SAN MARCOS,TX,78666,2951 BLANCO VISTA BLVD,SAN MARCOS,TX,78666,(512) 268-8506,(512) 393-2082,shear@hayscisd.net,www.hayscisd.net,REBECCA SHEA   ,'EE-05,795,Active,07/09/2008,3/14/2015 5:35:15 AM
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906114,CAMINO REAL EL,REGULAR INSTRUCTIONAL,,170 LAS BRISAS BLVD,NIEDERWALD,TX,78640,170 LAS BRISAS BLVD,NIEDERWALD,TX,78640,(512) 268-8505,(512) 398-5599,sedillom@hayscisd.net,www.hayscisd.net,YVETTE SOLIZ   ,'EE-05,769,Active,07/09/2008,3/14/2015 5:35:15 AM
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906115,CARPENTER HILL EL,REGULAR INSTRUCTIONAL,,4410 RR 967,BUDA,TX,78610,4410 RR 967,BUDA,TX,78610,(512) 268-8509,(512) 295-4049,certainj@hayscisd.net,www.hayscisd.net,JASON CERTAIN   ,'KG-05,612,Active,08/03/2010,3/14/2015 5:35:15 AM
'105,HAYS COUNTY,'13,'105906,HAYS CISD,INDEPENDENT,21003 INTERSTATE 35,KYLE,TX,78640-9530,21003 INTERSTATE 35,KYLE,TX,78640-9530,(512) 268-2141,(512) 268-7121,scherffc@hayscisd.net,www.hayscisd.net,MICHAEL MCKIE   ,17948,'105906116,RALPH PFLUGER EL,REGULAR INSTRUCTIONAL,,4951 MARSH LN,BUDA,TX,78610,4951 MARSH LN,BUDA,TX,78610,(512) 268-8510,(512) 295-6826,kelleyr@hayscisd.net,www.hayscisd.net,ASHLEY TAYLOR   ,'EE KG-05,655,Active,08/03/2010,3/14/2015 5:35:15 AM
'106,HEMPHILL COUNTY,'16,'106901,CANADIAN ISD,INDEPENDENT,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,(806) 323-5393,(806) 323-8143,kyle.lynch@canadianisd.net,www.canadianisd.net,MR S KYLE LYNCH   ,1050,'106901001,CANADIAN H S,REGULAR INSTRUCTIONAL,,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,621 S 5TH ST,CANADIAN,TX,79014-3233,(806) 323-5373,(806) 323-8143,rick.berry@canadianisd.net,www.canadianisd.net,MR RICK BERRY   ,'09-12,254,Active, ,3/14/2015 5:35:15 AM
'106,HEMPHILL COUNTY,'16,'106901,CANADIAN ISD,INDEPENDENT,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,(806) 323-5393,(806) 323-8143,kyle.lynch@canadianisd.net,www.canadianisd.net,MR S KYLE LYNCH   ,1050,'106901041,CANADIAN MIDDLE,REGULAR INSTRUCTIONAL,,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,404 6TH ST,CANADIAN,TX,79014-3233,(806) 323-5351,(806) 323-8143,bruce.bryant@canadianisd.net,www.canadianisd.net,BRUCE BRYANT   ,'06-08,221,Active,05/12/1983,3/14/2015 5:35:15 AM
'106,HEMPHILL COUNTY,'16,'106901,CANADIAN ISD,INDEPENDENT,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,(806) 323-5393,(806) 323-8143,kyle.lynch@canadianisd.net,www.canadianisd.net,MR S KYLE LYNCH   ,1050,'106901101,BAKER EL,REGULAR INSTRUCTIONAL,,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,723 CHEYENNE,CANADIAN,TX,79014-3233,(806) 323-5386,(806) 323-8143,jamie.copley@canadianisd.net,www.canadianisd.net,JAMIE COPLEY   ,'03-05,239,Active, ,3/14/2015 5:35:15 AM
