County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'115,HUDSPETH COUNTY,'19,'115903,DELL CITY ISD,INDEPENDENT,P O BOX 37,DELL CITY,TX,79837-0037,110 N MAIN,DELL CITY,TX,79837-0037,(915) 964-2663,(915) 964-2880,gomezf@dellcityisd.com,dellcity.schoolwires.com,MR FABIAN GOMEZ   ,73,'115903001,DELL CITY SCHOOL,REGULAR INSTRUCTIONAL,,P O BOX 37,DELL CITY,TX,79837-0037,110 N MAIN,DELL CITY,TX,79837-0037,(915) 964-2663,(915) 964-2473,gomezf@dellcityisd.com,dellcity.schoolwires.com,MRS CLAUDIA MUSTAIN   MS PATRICIA DURAN   ,'KG-12,73,Active,01/01/1987,3/14/2015 5:35:17 AM
'116,HUNT COUNTY,'10,'116801,PHOENIX CHARTER SCHOOL,CHARTER,8501 JACK FINNEY BLVD,GREENVILLE,TX,75402,8501 JACK FINNEY BLVD,GREENVILLE,TX,75402,(903) 454-7153,(903) 455-0604,lturnipseed@phoenixschool.net,,LULA TURNIPSEED-EDWARDS   ,717,'116801001,THE PHOENIX CHARTER SCHOOL,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,8501 JACK FINNEY BLVD,GREENVILLE,TX,75402,8501 JACK FINNEY BLVD,GREENVILLE,TX,75402,(903) 454-7153,(903) 454-7806,smaxwell@phoenixschool.net,phoenixschool.net,MS STACY MAXWELL   ,'PK-12,717,Active,07/27/2001,3/14/2015 5:35:17 AM
'116,HUNT COUNTY,'10,'116901,CADDO MILLS ISD,INDEPENDENT,P O BOX 160,CADDO MILLS,TX,75135-0160,#100 PRFOX LN,CADDO MILLS,TX,75135-0160,(903) 527-6056,(903) 527-4883,vjpayne@caddomillsisd.org,,VICKI PAYNE   ,1593,'116901001,CADDO MILLS H S,REGULAR INSTRUCTIONAL,,P O BOX 160,CADDO MILLS,TX,75135-0160,2710 GILMER,CADDO MILLS,TX,75135-0160,(903) 527-3164 ext:5   ,(903) 527-4772,bkmckamy@caddomillsisd.org,,MR BRIAN MCKAMY   ,'09-12,447,Active, ,3/14/2015 5:35:17 AM
'116,HUNT COUNTY,'10,'116901,CADDO MILLS ISD,INDEPENDENT,P O BOX 160,CADDO MILLS,TX,75135-0160,#100 PRFOX LN,CADDO MILLS,TX,75135-0160,(903) 527-6056,(903) 527-4883,vjpayne@caddomillsisd.org,,VICKI PAYNE   ,1593,'116901041,CADDO MILLS MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 160,CADDO MILLS,TX,75135-0160,2700 GILMER,CADDO MILLS,TX,75135-0160,(903) 527-3161,(903) 527-2379,mlpowell@caddomillsisd.org,,MRS ANNE PAYNE   ,'06-08,380,Active, ,3/14/2015 5:35:17 AM
'116,HUNT COUNTY,'10,'116901,CADDO MILLS ISD,INDEPENDENT,P O BOX 160,CADDO MILLS,TX,75135-0160,#100 PRFOX LN,CADDO MILLS,TX,75135-0160,(903) 527-6056,(903) 527-4883,vjpayne@caddomillsisd.org,,VICKI PAYNE   ,1593,'116901101,FRANCES AND JEANNETTE LEE EL,REGULAR INSTRUCTIONAL,,P O BOX 160,CADDO MILLS,TX,75135-0160,2702 GILMER,CADDO MILLS,TX,75135-0160,(903) 527-3162,(903) 527-0166,vfarmer@caddomillsisd.org,,MRS VONDA FARMER   ,'EE-05,337,Active, ,3/14/2015 5:35:17 AM
'116,HUNT COUNTY,'10,'116901,CADDO MILLS ISD,INDEPENDENT,P O BOX 160,CADDO MILLS,TX,75135-0160,#100 PRFOX LN,CADDO MILLS,TX,75135-0160,(903) 527-6056,(903) 527-4883,vjpayne@caddomillsisd.org,,VICKI PAYNE   ,1593,'116901102,KATHRYN GRIFFIS EL,REGULAR INSTRUCTIONAL,,P O BOX 160,CADDO MILLS,TX,75135,3639 FM 1565,CADDO MILLS,TX,75135,(903) 527-3525,(903) 527-3597,cpainter@caddomillsisd.org,,MRS COURTNEY K PAINTER   ,'EE-05,429,Active,08/15/2008,3/14/2015 5:35:17 AM
'116,HUNT COUNTY,'10,'116902,CELESTE ISD,INDEPENDENT,P O BOX 67,CELESTE,TX,75423-0067,207 S FIFTH ST,CELESTE,TX,75423-0067,(903) 568-4825 ext:4004,(903) 568-4495,bluedevils@celesteisd.org,www.celesteisd.org,MR BRAD CONNELLY   ,453,'116902001,CELESTE H S,REGULAR INSTRUCTIONAL,,P O BOX 67,CELESTE,TX,75423-0067,609 FM 1562,CELESTE,TX,75423-0067,(903) 568-4721 ext:1000,(903) 568-4115,frielingb@celesteisd.org,www.celesteisd.org,BEN FRIELING   ,'09-12,141,Active, ,3/14/2015 5:35:17 AM
'116,HUNT COUNTY,'10,'116902,CELESTE ISD,INDEPENDENT,P O BOX 67,CELESTE,TX,75423-0067,207 S FIFTH ST,CELESTE,TX,75423-0067,(903) 568-4825 ext:4004,(903) 568-4495,bluedevils@celesteisd.org,www.celesteisd.org,MR BRAD CONNELLY   ,453,'116902041,CELESTE J H,REGULAR INSTRUCTIONAL,,P O BOX 67,CELESTE,TX,75423-0067,200 S 5TH ST,CELESTE,TX,75423-0067,(903) 568-4721 ext:2001,(903) 568-4277,beadless@celesteisd.org,www.celesteisd.org,MRS STACI BEADLES   ,'06-08,119,Active, ,3/14/2015 5:35:17 AM
'116,HUNT COUNTY,'10,'116902,CELESTE ISD,INDEPENDENT,P O BOX 67,CELESTE,TX,75423-0067,207 S FIFTH ST,CELESTE,TX,75423-0067,(903) 568-4825 ext:4004,(903) 568-4495,bluedevils@celesteisd.org,www.celesteisd.org,MR BRAD CONNELLY   ,453,'116902101,CELESTE EL,REGULAR INSTRUCTIONAL,,P O BOX 67,CELESTE,TX,75423-0067,605 W COCKRELL ST,CELESTE,TX,75423-0067,(903) 568-4721 ext:3001,(903) 568-4651,martinj@celesteisd.org,www.celesteisd.org,MRS JENNY MARTIN   ,'EE-05,193,Active, ,3/14/2015 5:35:17 AM
'116,HUNT COUNTY,'10,'116903,COMMERCE ISD,INDEPENDENT,3315 WASHINGTON ST,COMMERCE,TX,75428,3315 WASHINGTON ST,COMMERCE,TX,75428,(903) 886-3755,(903) 886-6025,Blake.Cooper@commerceisd.org,www.commerceisd.org,MR BLAKE WESLEY COOPER   ,1554,'116903001,COMMERCE H S,REGULAR INSTRUCTIONAL,,3315 WASHINGTON ST,COMMERCE,TX,75428,3800 SREGIT DR,COMMERCE,TX,75428,(903) 886-3756,(903) 886-6209,david.welch@commerceisd.org,schools.commerceisd.org/default.aspx?name=04.homepage,MR DAVID WELCH   ,'09-12,437,Active, ,3/14/2015 5:35:17 AM
