County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902007,AAEP (ACADEMIC ALTERNATIVE EDUCATION PROGRAM),ALTERNATIVE INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535,309 S HWY 146,DAYTON,TX,77535,(936) 258-2309,(936) 257-4109,stacie.lott@daytonisd.net,www.daytonisd.net,MRS STACIE LOTT   ,'09-12,8,Active,08/14/2006,3/14/2015 5:35:19 AM
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902041,WILSON J H,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535-0248,309 S HWY 146,DAYTON,TX,77535-2515,(936) 258-2309,(936) 257-4109,rita.gilmore@daytonisd.net,www.daytonisd.net,MRS RITA GILMORE   ,'07-08,799,Active, ,3/14/2015 5:35:19 AM
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902042,NOTTINGHAM MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535,302 S CLEVELAND,DAYTON,TX,77535,(936) 257-4100,(936) 257-4110,benicia.bendele@daytonisd.net,www.daytonisd.net,MRS BENICIA BENDELE   ,'06,394,Active,08/04/2004,3/14/2015 5:35:19 AM
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902101,AUSTIN EL,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535-0248,702 S CLEVELAND ST,DAYTON,TX,77535-2730,(936) 258-2535,(936) 257-4138,nelly.tinkle@daytonisd.net,www.daytonisd.net,MRS NELLY TINKLE   ,'KG-01,806,Active, ,3/14/2015 5:35:19 AM
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902102,COLBERT EL,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535-0248,231 S COLBERT ST,DAYTON,TX,77535-3002,(936) 258-2727,(936) 257-4152,nelly.tinkle@daytonisd.net,www.daytonisd.net,MRS NELLY TINKLE   ,'EE-PK,203,Active, ,3/14/2015 5:35:19 AM
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902103,RICHTER EL,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535-0248,2400 N WINFREE ST,DAYTON,TX,77535-1972,(936) 258-7126,(936) 257-4179,maritza.pruitt@daytonisd.net,www.daytonisd.net,MRS MARITZA PRUITT   ,'02-03,769,Active, ,3/14/2015 5:35:19 AM
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902105,KIMMIE M BROWN EL,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535,151 BROWN RD,DAYTON,TX,77535,(936) 257-2796,(936) 257-4154,brandy.strolberg@daytonisd.net,www.daytonisd.net,MRS BRANDY STROLBERG   ,'04-05,772,Active,08/04/2004,3/14/2015 5:35:19 AM
'146,LIBERTY COUNTY,'04,'146903,DEVERS ISD,INDEPENDENT,P O BOX 488,DEVERS,TX,77538-0488,201 S CHISM,DEVERS,TX,77538-0488,(936) 549-7135,(936) 549-7595,eharris@deversisd.net,www.deversisd.net,ELIZABETH HARRIS   ,170,'146903041,DEVERS JH,REGULAR INSTRUCTIONAL,,P O BOX 488,DEVERS,TX,77538,201 S CHISM,DEVERS,TX,77538,(936) 549-7591,(936) 549-7085,eharris@deversisd.net,www.deversisd.net,ELIZABETH HARRIS   ,'06-08,39,Active,08/09/2004,3/14/2015 5:35:19 AM
'146,LIBERTY COUNTY,'04,'146903,DEVERS ISD,INDEPENDENT,P O BOX 488,DEVERS,TX,77538-0488,201 S CHISM,DEVERS,TX,77538-0488,(936) 549-7135,(936) 549-7595,eharris@deversisd.net,www.deversisd.net,ELIZABETH HARRIS   ,170,'146903042,DEVERS AEP,ALTERNATIVE INSTRUCTIONAL,,P O BOX 488,DEVERS,TX,77538,201 S CHISM,DEVERS,TX,77538-0488,(936) 549-7135 ext:124 ,(936) 549-7595,eharris@deversisd.net,,    ,'01-08,0,Active,02/23/2006,3/14/2015 5:35:19 AM
'146,LIBERTY COUNTY,'04,'146903,DEVERS ISD,INDEPENDENT,P O BOX 488,DEVERS,TX,77538-0488,201 S CHISM,DEVERS,TX,77538-0488,(936) 549-7135,(936) 549-7595,eharris@deversisd.net,www.deversisd.net,ELIZABETH HARRIS   ,170,'146903101,DEVERS EL,REGULAR INSTRUCTIONAL,,P O BOX 488,DEVERS,TX,77538-0488,201 S CHISM,DEVERS,TX,77538-0488,(936) 549-7591,(936) 549-7085,eharris@deversisd.net,www.deversisd.net,ELIZABETH HARRIS   ,'EE-05,131,Active, ,3/14/2015 5:35:19 AM
