County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902111,HOUSER EL,REGULAR INSTRUCTIONAL,,27370 OAK RDG SCHOOL RD,CONROE,TX,77385-9042,27370 OAK RDG SCHOOL RD,CONROE,TX,77385-9042,(832) 663-4000,(832) 663-4076,agriffin@conroeisd.net,www.conroeisd.net,MS ANGELA GRIFFIN   ,'EE-04,848,Active,06/11/2001,3/14/2015 5:35:21 AM
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902112,FORD EL,REGULAR INSTRUCTIONAL,,25460 RICHARD RD,SPRING,TX,77386-1508,25460 RICHARD RD,SPRING,TX,77386-1508,(832) 592-5700,(832) 592-5709,pgorman@conroeisd.net,www.conroeisd.net,MS PAOLA GORMAN   ,'EE-04,991,Active, ,3/14/2015 5:35:21 AM
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902113,HAILEY EL,REGULAR INSTRUCTIONAL,,12051 SAWMILL RD,THE WOODLANDS,TX,77380-2199,12051 SAWMILL RD,THE WOODLANDS,TX,77380-2199,(832) 663-4100,(832) 663-4199,thorne@conroeisd.net,www.conroeisd.net,MS TRACY HORNE   ,'EE-04,720,Active, ,3/14/2015 5:35:21 AM
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902114,RICE EL,REGULAR INSTRUCTIONAL,,904 GLADSTELL ST,CONROE,TX,77304-2765,904 GLADSTELL ST,CONROE,TX,77304-2765,(936) 709-2700,(936) 709-2799,cfitzpatrick@conroeisd.net,www.conroeisd.net,MS MALINDA STEWART   ,'EE-04,666,Active, ,3/14/2015 5:35:21 AM
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902115,SAN JACINTO EL,REGULAR INSTRUCTIONAL,,17601 FM 1314,CONROE,TX,77302-9306,17601 FM 1314,CONROE,TX,77302-9306,(281) 465-7700,(281) 465-7799,roneal@conroeisd.net,www.conroeisd.net,MS RENEE O'NEAL   ,'EE-04,724,Active,04/22/1980,3/14/2015 5:35:21 AM
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902116,GLEN LOCH EL,REGULAR INSTRUCTIONAL,,27505 GLEN LOCH DR,THE WOODLANDS,TX,77381-2913,27505 GLEN LOCH DR,THE WOODLANDS,TX,77381-2913,(281) 298-4900,(281) 298-4903,chertzenberg@conroeisd.net,www.conroeisd.net,MS CASSIE HERTZENBERG   ,'EE-04,640,Active,04/22/1980,3/14/2015 5:35:21 AM
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902117,RIDE EL,REGULAR INSTRUCTIONAL,,4920 W PANTHER CREEK DR,THE WOODLANDS,TX,77381-2599,4920 W PANTHER CREEK DR,THE WOODLANDS,TX,77381-2599,(281) 465-2800,(281) 465-2803,mburnham@conroeisd.net,www.conroeisd.net,MS MEGAN BURNHAM   ,'EE-04,568,Active, ,3/14/2015 5:35:21 AM
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902118,DAVID EL,REGULAR INSTRUCTIONAL,,5301 SHADOW BEND PL,THE WOODLANDS,TX,77381-4126,5301 SHADOW BEND PL,THE WOODLANDS,TX,77381-4126,(281) 298-4700,(281) 298-4703,lewallen@conroeisd.net,www.conroeisd.net,MR LEE ALLEN   ,'EE-04,626,Active,12/02/1988,3/14/2015 5:35:21 AM
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902119,GIESINGER EL,REGULAR INSTRUCTIONAL,,2323 WHITE OAK BLVD,CONROE,TX,77304-3560,2323 WHITE OAK BLVD,CONROE,TX,77304-3560,(936) 709-2600,(936) 709-2699,rpage@conroeisd.net,www.conroeisd.net,MS REBECCA PAGE   ,'EE-04,509,Active,12/02/1988,3/14/2015 5:35:21 AM
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902120,GALATAS EL,REGULAR INSTRUCTIONAL,,9001 COCHRANS CROSSING DR,THE WOODLANDS,TX,77381-2557,9001 COCHRANS CROSSING DR,THE WOODLANDS,TX,77381-2557,(936) 709-5000,(936) 709-5003,mlindsay@conroeisd.net,www.conroeisd.net,MS DENAE WILKER   ,'EE-04,660,Active,07/01/1992,3/14/2015 5:35:21 AM
