County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901001,CANYON H S,REGULAR INSTRUCTIONAL,,1701 23RD ST,CANYON,TX,79015,1701 23RD ST,CANYON,TX,79015,(806) 677-2740,(806) 677-2779,tgilliland@canyonisd.net,www.canyonisd.net,MR TIM GILLILAND   ,'09-12,1118,Active, ,3/14/2015 5:35:23 AM
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901002,RANDALL H S,REGULAR INSTRUCTIONAL,,5800 ATTEBURY,AMARILLO,TX,79118-5005,5800 ATTEBURY,AMARILLO,TX,79118-5005,(806) 677-2333,(806) 677-2329,swill@canyonisd.net,www.canyonisd.net,MR STEVE WILLIAMS   ,'09-12,1575,Active, ,3/14/2015 5:35:23 AM
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901003,YOUTH CTR OF HIGH PLAINS,ALTERNATIVE INSTRUCTIONAL,,9300 S GEORGIA,AMARILLO,TX,79118-9475,9300 S GEORGIA,AMARILLO,TX,79118-9475,(806) 677-2450,(806) 468-5714,sneeley@canyonisd.net,www.canyonisd.net,MR SHAWN NEELEY   ,'04-12,53,Active,07/01/1992,3/14/2015 5:35:23 AM
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901004,MIDWAY ALTERNATIVE H S,ALTERNATIVE INSTRUCTIONAL,,13501 S BELL,AMARILLO,TX,79118,13501 S BELL,AMARILLO,TX,79118,(806) 677-2455 ext:2456,(806) 677-2459,sneeley@canyonisd.net,www.canyonisd.net,SHAWN NEELEY   ,'07-12,38,Active,08/20/2009,3/14/2015 5:35:23 AM
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901041,CANYON J H,REGULAR INSTRUCTIONAL,,910 9TH AVE,CANYON,TX,79015-3699,910 9TH AVE,CANYON,TX,79015-3699,(806) 677-2700,(806) 677-2739,kkear@canyonisd.net,www.canyonisd.net,MR KIRK KEAR   ,'07-08,564,Active, ,3/14/2015 5:35:23 AM
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901043,WESTOVER PARK JR HIGH,REGULAR INSTRUCTIONAL,,7200 PINNACLE,AMARILLO,TX,79109-7314,7200 PINNACLE,AMARILLO,TX,79109-7314,(806) 677-2420,(806) 677-2439,dvoran@canyonisd.net,www.canyonisd.net,MR DOUG VORAN   ,'07-08,864,Active,07/01/1995,3/14/2015 5:35:23 AM
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901101,GENE HOWE EL,REGULAR INSTRUCTIONAL,,5108 PICO,AMARILLO,TX,79110-4918,5108 PICO,AMARILLO,TX,79110-4918,(806) 677-2380,(806) 677-2399,njohnston@canyonisd.net,www.canyonisd.net,MS NICOLE JOHNSTON   ,'EE-04,366,Active, ,3/14/2015 5:35:23 AM
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901104,SUNDOWN LANE EL,REGULAR INSTRUCTIONAL,,4715 SUNDOWN LN,AMARILLO,TX,79118-9508,4715 SUNDOWN LN,AMARILLO,TX,79118-9508,(806) 677-2400,(806) 677-2419,dfaver@canyonisd.net,www.canyonisd.net,MR DAVID FAVER   ,'EE-04,330,Active, ,3/14/2015 5:35:23 AM
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901105,LAKEVIEW EL,REGULAR INSTRUCTIONAL,,6407 LAIR RD,AMARILLO,TX,79118-3017,6407 LAIR RD,AMARILLO,TX,79118-3017,(806) 677-2830,(806) 677-2849,dcunyus@canyonisd.net,www.canyonisd.net,MRS DANA CUNYUS   ,'EE-04,463,Active,07/21/1987,3/14/2015 5:35:23 AM
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901106,ARDEN ROAD EL,REGULAR INSTRUCTIONAL,,6801 LEARNING TREE AVE,AMARILLO,TX,79109-7301,6801 LEARNING TREE AVE,AMARILLO,TX,79109-7301,(806) 677-2360,(806) 677-2379,cnorton@canyonisd.net,www.canyonisd.net,MR CHRIS NORTON   ,'EE-04,430,Active,07/21/1987,3/14/2015 5:35:23 AM
