County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905052,MEADOWBROOK MIDDLE,REGULAR INSTRUCTIONAL,,2001 EDERVILLE RD,FORT WORTH,TX,76103-1599,2001 EDERVILLE RD,FORT WORTH,TX,76103-1599,(817) 815-4300,(817) 815-4350,WEB@FWISD.ORG,www.fortworthisd.org,MS KATRINA SMITH   ,'06-08,584,Active, ,3/14/2015 5:35:24 AM
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905053,MONNIG MIDDLE,REGULAR INSTRUCTIONAL,,3136 BIGHAM BLVD,FORT WORTH,TX,76116-4393,3136 BIGHAM BLVD,FORT WORTH,TX,76116-4393,(817) 815-1200,(817) 815-1200,WEB@FWISD.ORG,www.fortworthisd.org,JENNIFER ORONA   ,'06-08,490,Active, ,3/14/2015 5:35:24 AM
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905054,MORNINGSIDE MIDDLE,REGULAR INSTRUCTIONAL,,2751 MISSISSIPPI AVE,FORT WORTH,TX,76104-6899,2751 MISSISSIPPI AVE,FORT WORTH,TX,76104-6899,(817) 815-8300,(817) 815-8350,WEB@FWISD.ORG,www.fortworthisd.org,ANGELE HODGES   ,'06-08,741,Active, ,3/14/2015 5:35:24 AM
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905055,APPLIED LEARNING ACAD,REGULAR INSTRUCTIONAL,,7060 CAMP BOWIE,FORT WORTH,TX,76116-3010,7060 CAMP BOWIE,FORT WORTH,TX,76116-3010,(817) 815-5500,(817) 815-5550,web@FWISD.ORG,www.fortworthisd.org,MS ALICE BUCKLEY   ,'06-08,299,Active,07/01/1993,3/14/2015 5:35:24 AM
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905056,RIVERSIDE MIDDLE,REGULAR INSTRUCTIONAL,,1600 BOLTON ST,FORT WORTH,TX,76111-2601,1600 BOLTON ST,FORT WORTH,TX,76111-2601,(817) 814-9200,(817) 814-9250,WEB@FWISD.ORG,www.fortworthisd.org,JOSHUA DELICH   ,'06-08,1028,Active, ,3/14/2015 5:35:24 AM
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905057,ROSEMONT MIDDLE,REGULAR INSTRUCTIONAL,,1501 W SEMINARY DR,FORT WORTH,TX,76115-1199,1501 W SEMINARY DR,FORT WORTH,TX,76115-1199,(817) 814-7200,(817) 814-7250,WEB@FWISD.ORG,www.fortworthisd.org,MR BENJAMIN LEOS   ,'07-08,950,Active, ,3/14/2015 5:35:24 AM
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905058,STRIPLING MIDDLE,REGULAR INSTRUCTIONAL,,2100 CLOVER LN,FORT WORTH,TX,76107-4397,2100 CLOVER LN,FORT WORTH,TX,76107-4397,(817) 815-1300,(817) 815-1350,WEB@FWISD.ORG,www.fortworthisd.org,KERI FLORES   ,'06-08,690,Active, ,3/14/2015 5:35:24 AM
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905059,DUNBAR MIDDLE,REGULAR INSTRUCTIONAL,,2501 STALCUP RD,FORT WORTH,TX,76105-1538,2501 STALCUP RD,FORT WORTH,TX,76105-1538,(817) 815-3500,(817) 815-3550,WEB@FWISD.ORG,www.fortworthisd.org,HOWARD ROBINSON   ,'06-08,736,Active, ,3/14/2015 5:35:24 AM
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905060,WEDGWOOD MIDDLE,REGULAR INSTRUCTIONAL,,3909 WILKIE WAY,FORT WORTH,TX,76133-2899,3909 WILKIE WAY,FORT WORTH,TX,76133-2899,(817) 814-8200,(817) 814-8250,WEB@FWISD.ORG,www.fortworthisd.org,MS VALENCIA RHINES   ,'06-08,931,Active, ,3/14/2015 5:35:24 AM
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905061,LEONARD MIDDLE,REGULAR INSTRUCTIONAL,,8900 CHAPIN,FORT WORTH,TX,76116-6699,8900 CHAPIN,FORT WORTH,TX,76116-6699,(817) 815-6200,(817) 815-6250,WEB@FWISD.ORG,www.fortworthisd.org,MS QUANDA COLLINS   ,'06-08,741,Active, ,3/14/2015 5:35:24 AM
