County Number,County Name,Region Number,District Number,District Name,District Type,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2014,School Number,School Name,Instruction Type,Charter Type,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2014,School Status,School Status Date,Update Date
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905007,WATER VALLEY / VERIBEST SPECIAL PROGRAMS,REGULAR INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958,(325) 484-2478 ext:199 ,(325) 484-2473,shelly.bell@wvisd.net,www.wvisd.net,JIMMY HANNON   SHELLY BELL   ,'EE-12,0,Active,02/05/2007,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905008,FAIRVIEW DAEP,DAEP INSTRUCTIONAL,,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,(325) 484-2478 ext:299 ,(325) 484-3359,jimmy.hannon@wvisd.net,,JIMMY HANNON   ,'07-12,0,Active,08/25/2014,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905101,WATER VALLEY EL,REGULAR INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,15575 ADAMS AVE,WATER VALLEY,TX,76958-9998,(325) 484-2478 ext:199 ,(325) 484-2473,shelly.bell@wvisd.net,www.wvisd.net,SHELLY BELL   ,'PK-06,170,Active, ,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905180,WALL SPECIAL PROGRAMS,ALTERNATIVE INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,15575 ADAMS AVE,WATER VALLEY,TX,76958-9998,(325) 653-1852,(325) 484-3359,jimmy.hannon@wvisd.net,,SHELLY BELL   ,'EE-12,-1,Active,07/01/1996,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905195,FAIRVIEW SPECIAL PROGRAMS,ALTERNATIVE INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,17886 WILDCAT DR,WATER VALLEY,TX,76958-9998,(325) 484-2478 ext:299 ,(325) 484-2462,jimmy.hannon@wvisd.net,,JIMMY HANNON   ,'05-12,-1,Active,07/01/1991,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905202,SAN ANGELO STATE SCHOOL,REGULAR INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958,(325) 465-4391,(325) 484-2462,jimmy.hannon@wvisd.net,,JIMMY HANNON   ,'08-UG,-1,Active,07/01/1998,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906001,WALL H S,REGULAR INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7521,(325) 651-9419,russell.dacy@wallisd.net,,MR RUSSELL DACY   ,'09-12,331,Active, ,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906002,FAIRVIEW ACCELERATED,ALTERNATIVE INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904-9664,(325) 651-7656,(325) 651-8504,,,ALBERT F JOHNSON   ,'07-12,5,Active,07/01/1994,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906005,FAIRVIEW ACCELERATED DAEP,DAEP INSTRUCTIONAL,,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,(915) 651-7686, ,,,MR ALBERT JOHNSON   ,'06-12,0,Active,09/01/1999,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906041,WALL MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7648,(325) 651-9664,ryan.snowden@wallisd.net,,MR RYAN SNOWDEN   ,'06-08,287,Active,06/26/1989,3/14/2015 5:35:26 AM
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906101,WALL EL,REGULAR INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7522,(325) 651-9189,matt.fore@wallisd.net,,MR MATTHEW FORE   ,'EE-05,477,Active, ,3/14/2015 5:35:26 AM
